REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,886,closed,4,2012-08-08 20:38:51,798.33,,1,,"b'b"" @elijahmanor can you rebase this when you get a chance? It\'s gotten a bit stale but I\'m ready to land it for 1.9. Let me know if you need any help.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,886,closed,5,2012-08-08 20:38:51,782.65,1,,,"b'b\' @dmethvin I just pulled in the changes and fixed the differences. Unfortunately I saw you said ""rebase"" after I pushed ;( So there are tons of commits shown.  \''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,886,closed,6,2012-08-08 20:38:51,156.82,,1,,"b'b"" Didn\'t actually close.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,886,closed,closed,2012-11-16 17:56:57,1278.1,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,886,closed,7,2012-08-08 20:38:51,5.35,,1,,"b'b"" I haven\'t landed this yet"," I just created a branch for @elijahmanor to review.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,886,closed,reopened,2012-11-16 18:02:17,5.33,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,886,closed,8,2012-08-08 20:38:51,1.15,1,,,"b""b' Woops", read the close," thought it needed to be . :/'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,886,closed,closed,2012-11-18 20:01:25,119.13,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,886,closed,9,2012-08-08 20:38:51,124.93,,1,,"b'b"" I realized there was no need to fix for backgroundPositionX/Y since they\'re not standard or supported across browsers (Firefox is the holdout"," possibly Opera as well).""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,886,closed,-,-,-,4,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,891,closed,opened,2012-08-11 06:29:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,891,closed,title,2012-08-11 06:29:57,00:00,,1,,"b""b' [1.9 vote] Fix #12264 Customizable serializeArray result'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,891,closed,body,2012-08-11 06:29:57,00:00,,,1,"b""b' I propose to accept a callback function in the serializeArray"," so that the users can customize or filter the returning object. For example: This produces the following data structure: More powerful one:  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,891,closed,closed,2012-08-11 10:24:44,234.78,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,891,closed,reopened,2012-08-11 11:13:34,48.83,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,891,closed,1,2012-08-11 06:29:57,347.63,,1,,"b""b' Can you provide tests that support this feature?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,891,closed,2,2012-08-11 06:29:57,642.83,,1,,"b'b"" This optional converted value passed to the user is for consistency and convenience"," since the rCRLF is defined inside jQuery. It\'s desired in most of use cases. One can retrieve the original value by calling $(this).val() explicitly.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,891,closed,closed,2012-08-12 08:56:44,1303.17,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,891,closed,reopened,2012-08-12 09:08:44,12.0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,891,closed,3,2012-08-11 06:29:57,1179.4,,1,,"b""b' We voted not to land this feature in core.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,891,closed,closed,2012-10-30 18:39:49,571.08,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,891,closed,-,-,-,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,opened,2012-08-17 03:59:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,title,2012-08-17 03:59:31,00:00,,1,,"b""b' Remove BOM in .'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,body,2012-08-17 03:59:31,00:00,,1,,"b""b' In response to pull request #896"," see discussion. This adds 7 bytes'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,1,2012-08-17 03:59:31,767.6,,,1,"b'b"" Since  uses a polyfill for  it would be nice if it could match the full spec.If this is used just internally for jQuery as @dmethvin said there\'s no reason to expose as an utility"," right?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,2,2012-08-17 03:59:31,22.75,,,1,"b'b"" Let\'s not go overboard here.  is a perfectly useful public utility that happens to utilize native trim where it can. We don\'t need to drop it just because it doesn\'t trim all random unicode space characters in every browser. Let\'s be honest and make up statistics. 99.9% of users don\'t care about these characters. They care about  .""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,3,2012-08-17 03:59:31,3.87,,1,,"b'b\' The documentation says nothing about this.I said "" jQuery\\\'s internal utility methods are often intended for specific situations inside the library where the complex edge cases don\\\'t matter."" It wasn\\\'t our intention to expose a polyfill of under the name of and be tied to a spec that requres things we don\\\'t need internally.The only reason to continue to expose it is because the cow has left the barn", the cat is out of the bag, the condor has taken flight. We definitely would not have exposed it if we understood the level of bikeshedding it would induce. \'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,4,2012-08-17 03:59:31,57.85,,1,,"b""b' Sure"," that was just a personal thought based in the source and in the fact that is a public api...'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,5,2012-08-17 03:59:31,690.85,1,,,"b'b"" Sorry to have brought the bikeshed back to the forefront. I obviously can\'t speak for the entire community but if this were moved out of core and into a plugin that wouldn\'t seem inappropriate.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,6,2012-08-17 03:59:31,46.25,,,1,"b'b"" @wwalser Handling BOM seems like a reasonable endeavor to me. It\'s the idea of a full-fledged trim polyfill for the sake of it that\'s a bit overkill. So thanks for the PR ;)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,closed,2012-08-20 02:40:17,1360.77,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,7,2012-08-17 03:59:31,1212.13,,,1,"b""b' I updated the tests and landed this so it would get into 1.8.1"," thanks!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,reopened,2012-08-20 13:41:15,660.97,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,8,2012-08-17 03:59:31,662.67,1,,,"b""b' Breaks in Safari 5.0. So now we not only need to detect a missing "," but we need to detect a broken . I fear it will take some bytes to do this. url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,9,2012-08-17 03:59:31,41.5,,1,,"b'b"" Wait"," are you saying that Safari 5.0 recognizes BOM as whitespace in the regex engine but doesn\'t it?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,10,2012-08-17 03:59:31,3.75,,,1,"b'b"" Seems like it... makes you wonder about this  feature inference now"," doesn\'t it? :P""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,11,2012-08-17 03:59:31,900.27,,1,,"b'b"" Maybe. The new inference that if \\\\s recognizes \\\\xA0 it will also recognize \\\\uFEFF may have failed or the existing inference that regexs \\\\s recognition is the same as what\'s trimmed by  might have failed. We can\'t actually tell from this test result. It\'s not actually any of the inferences that are hurting us here. As Dave pointed out it\'s the existence of a  which is broken that\'s hurting us. core_trim is true. rtrim", the result of said inference is never used.  exists and is not implemented to spec. Unfortunate, unsurprising, and true. This would require additional bytes," scrap it. Thanks guys! sorry it didn\'t work out.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,12,2012-08-17 03:59:31,150.45,1,,,b'b\' @wwalser the remark shouldn\\\'t be taken literally. What I\\\'m saying is that, when you cannot even trust standard methods to be implemented correctly, you\\\'re probably better off not making any inference in your code, period. It\\\'s not about the browsers that jQuery supports today, it\\\'s about the ones it will have to support tomorrow (FF & Chrome are very aggressive and very breaking in that department). Everytime we release a new version, we hope for it to be the latest in it\\\'s 1.x branch. If such is the case, then some sites will have this version for a looooong time (1.4.4 anyone?). Now, comes along a browser that does break a single assumption... Feature detection should be as bullet proof as humanly possible (as in testing for the exact blank the workaround is supposed to fill), feature inference should be avoided at all cost, since it doesn\\\'t test for the blank itself and, thus, is just browser sniffing in disguise," even if it actually sniffs a large range of browsers: ""this is true"," and in every browser I know I can deduce this totally unrelated thing is true too so it will always be true no matter what"". I find it sad that we could actually feature detect here but just refuse to do so because ""we know of no browser that would break the assumption"" or ""it saves 4 bytes"". That doesn\\\'t sit well with me regarding how jQuery is supposed to endure a little past the few browser versions it supports right this instant. And I _know_ we cannot safeguard against all future bugs", but I sure hope we can properly handle the ones we fix today so that the code is adapted to variations on the same theme. I hope I made my reasoning a little clearer.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,13,2012-08-17 03:59:31,307.2,,,1,"b'b"" Landed gh-902 instead. @wwalser thanks for your work here", I hope it\'s a little clearer what we go through for even the simplest changes. :sweat: When we\'re supporting so many (broken) browsers, nothing is simple! We are hoping to have automatic Testswarm runs for pull requests soon," which would have identified the problem with Safari 5.0 before the code landed in master. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,closed,2012-08-21 13:06:40,1405.42,3,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,14,2012-08-17 03:59:31,698.28,,,1,"b""b' Nice"," thanks for the update.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,897,closed,-,-,-,3,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,905,closed,opened,2012-08-23 13:17:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,905,closed,title,2012-08-23 13:17:36,00:00,,1,,"b""b' String concatenation instead of join'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,905,closed,body,2012-08-23 13:17:36,00:00,,,1,"b'b"" Since only takes two arguments it\'s better to specify these two and build the name for by string concatenation instead of the slower on the object. This change results in both less code and a performance boost of with up to ~50% (tested in latest Firefox and Chrome). Check [this JSPerf]url  Credits to [seutje]url  for the heads up!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,905,closed,closed,2012-08-23 13:19:40,2.07,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,905,closed,reopened,2012-08-23 13:19:47,0.12,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,905,closed,1,2012-08-23 13:17:36,54.0,,1,,"b'b"" We\'re removing most of that pushStack selector-string-creation code in 1.9 so there\'s no need to land this. It does point out the performance gain we\'ll get by removing it though. The property is mainly intended for use by which of course is now deprecated"," but most traversal methods (including  ) don\'t create a valid selector for to use anyway: url  url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,905,closed,closed,2012-08-23 14:11:36,51.82,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,905,closed,2,2012-08-23 13:17:36,6.65,,,1,"b'b"" Ahh"," that\'s a good thing to hear. Looking forward to it!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,905,closed,-,-,-,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,914,closed,opened,2012-08-28 22:07:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,914,closed,title,2012-08-28 22:07:29,00:00,,1,,"b""b' [1.9]  added to avoid IE wrong  string parsing...'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,914,closed,body,2012-08-28 22:07:29,00:00,,,1,b'b\' Ok," so this was not that simple. I did not implement the proper tests at the beginning and afterwards I found out what was the real problem. The point is IE6-8 do not ""properly"" parse param elements without a name attribute ( with a non empty string value ).And this ""could make sense"" taking into account the HTML 4.01 specs: url  where the name attribute: name    CDATA    #REQUIRED -property name -So  = ""&lt;param type=\\\'foo\\\' /&gt;""; does generate a HTMLUnknownElement as the div childNodebut  = ""&lt;param type=\\\'foo\\\'  name=\\\'bar\\\' /&gt;""; works as expected I haven\\\'t found a really elegant solution to this issue", but checking for param elements and inserting a dummy name attr in case is not there.  And I don\\\'t even know if it\\\'s worthwhile fixing this IE behaviour. I hope this is useful.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,914,closed,closed,2012-08-28 22:51:50,44.35,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,914,closed,reopened,2012-09-02 20:04:34,1272.73,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,914,closed,1,2012-08-28 22:07:29,331.98,,,1,"b'b\' Certainly an interesting quirk of IE behavior.  What I\\\'ve wondered about is whether there might be a mechanism for ""known fails"" in the jQuery test suite", where the tests could be accepted without the fix, as a more permanent documented reminder of places where we know that browser behavior is inconsistent," and where jQuery has decided not to address the issue.  The problem is that qunit doesn\\\'t have such a thing as ""failed-but-don\\\'t-care"" does it?\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,914,closed,2,2012-08-28 22:07:29,212.95,,1,,"b'b"" @cmcnulty I like the idea (it makes totally sense from the dev point of view)", but on the other hand," I\'m wondering if it would be easier to simply apply the patch 06ac39b and have it addressed.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,914,closed,3,2012-08-28 22:07:29,1107.4,,1,,"b'b"" @dgalvez this is for url  right? I didn\'t realize it until now. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,914,closed,4,2012-08-28 22:07:29,919.57,1,,,"b""b' Yes Dave", sorry," I forgot to comment it on '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,914,closed,closed,2012-10-16 19:16:24,1391.83,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,914,closed,-,-,-,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,958,closed,opened,2012-10-15 15:55:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,958,closed,title,2012-10-15 15:55:57,00:00,,1,,"b""b' Fixes Ticket #12518'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,958,closed,body,2012-10-15 15:55:57,00:00,,1,,"b""b' removes an offsetWidth on  events for an <IE9 bug that caused a performance hit and replaces it with a  block.  There was already a unit test in place to cover this.  This bug is tricky to trigger because you actually need an IE8 native browser in windows XP"," not an IE9 in IE8 mode'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,958,closed,1,2012-10-15 15:55:57,30.47,,1,,"b""b' reviewing'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,958,closed,closed,2012-10-15 16:26:26,30.48,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,958,closed,reopened,2012-10-15 16:26:27,0.02,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,958,closed,2,2012-10-15 15:55:57,0.15,1,,,"b""b' Whoops! Sorry about that...'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,958,closed,3,2012-10-15 15:55:57,0.6,,1,,"b""b' cc @mikesherov'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,958,closed,4,2012-10-15 15:55:57,12.15,,,1,"b""b' Cool. Looking now.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,958,closed,5,2012-10-15 15:55:57,5.8,,1,,"b""b' :+1:  LGTM'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,958,closed,6,2012-10-15 15:55:57,84.28,,1,,"b""b' /botio test'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,958,closed,7,2012-10-15 15:55:57,0.05,,1,,"b""b' #### From: jQuery  # Received Command **cmd_test** from @dmethvin received. Current queue size: 0 Live output at: url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,958,closed,8,2012-10-15 15:55:57,0.12,,1,,"b""b' #### From: jQuery  # Failed Full output at url  Total script time: 0.11 mins'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,958,closed,9,2012-10-15 15:55:57,5.25,,1,,"b""b' merge with master", no conflicts," want to try again?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,958,closed,closed,2012-10-20 18:03:59,97.53,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,958,closed,-,-,-,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,1007,closed,opened,2012-10-24 16:21:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,1007,closed,title,2012-10-24 16:21:12,00:00,,1,,"b""b' #12004 AJAX Alias  to '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,1007,closed,body,2012-10-24 16:21:12,00:00,,1,,"b'b"" I was in the mood for a bite-sized feature this morning", and didn\'t see that anyone had grabbed this one yet. This pull request adds support for an additional AJAX option, method, that is aliased to the AJAX option type, in the fashion described in [ticket #12004]url  For backward compatibility this is a simple alias, and the type argument will continue to work. When both are specified, method will win out. Size comparison with this new feature. Additionally, two new tests were added that simply mimic the simple  tests with the difference that they use method instead of type. I ran the unit tests with the following results.Firefox PASSChrome No additional failures.  There\'s a failure for  that seems to already exists in master.Safari PASSOpera PASSIE 9 No additional failures.  From what I can tell master had a handful of tests already failing.IE 8 No additional failures.  See notes for IE 9.IE 7 No additional failures.  See notes for IE 9.IE 6 ?  Sauce scout chokes and I can\'t get an IE6 VM working. :/ Going to try again shortly but if someone has a spare cycle and an IE 6 VM already spun up I would love you forever. Will update the PR when the status of IE 6 is solidified when either a) Sauce stops being stupid, b) I can get a working VM, or c) someone donates their time for me, jQuery, and the good of mankind. Considering that everything else is looking solid," I wanted to go ahead and open this PR and start discussion on merging. Let me know if I missed anything. Cheers!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,1007,closed,1,2012-10-24 16:21:12,15.82,,,1,"b'b\' Amazing how complicated it can be to do something ""simple"" like create an alias for an existing property! Conceptually it does seem like this belongs in $.ajax if we\\\'re treating ajaxSetup as a know-nothing property bag. TBH I\\\'d love to mark ajaxSetup as deprecated since global settings are such a bad idea. I\\\'m not in favor of adding some type of alias layer", it\\\'s already a pretty big byte size for something trivial.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,1007,closed,2,2012-10-24 16:21:12,3.63,,,1,"b'b"" Yeah", I was actually a bit surprised at the byte size change. Although, it gets a bit smaller in a commit I haven\'t pushed yet. heh. That said, I guess the question is whether or not jQuery eventually wants to using method altogether instead of type in some future version. That\'s a question for you guys to answer. If so, this would be the first step of sorts. If not," then we can all go home and call it a day. :boom:! :D ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,1007,closed,3,2012-10-24 16:21:12,2.8,,,1,"b'b"" I have a feeling we\'ll be supporting them both fer-ever"," but having the name seems good.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,1007,closed,4,2012-10-24 16:21:12,3.72,,,1,"b'b"" Alright", well," in that case I\'m going to finish testing and push my fix to the bug @jaubourg found and make the changes @rwldrn just requested to the test suite and push that. :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,1007,closed,5,2012-10-24 16:21:12,6.55,,,1,"b""b' Thanks @farmdawgnation '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,1007,closed,6,2012-10-24 16:21:12,5.07,,1,,b'b\' So," trying to run the entire test suite in IE 6 appears to be crashing the browser on Sauce Scout and I can\\\'t get a working VM right now. The AJAX suite only has issues with: ""Opera is incapable of doing .setRequestHeader(\\\'If-Modified-Since\\\').""", but from what I can tell that test is failing in master as well. All other AJAX module tests pass.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,1007,closed,7,2012-10-24 16:21:12,8.43,,1,,"b'b"" go ahead and commit to this branch to update your pull"," and we\'ll see what botio thinks.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,1007,closed,8,2012-10-24 16:21:12,2.95,,1,,"b""b' Done. Update size diff.  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,1007,closed,9,2012-10-24 16:21:12,0.57,,1,,"b""b' /botio test'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,1007,closed,10,2012-10-24 16:21:12,521.28,,1,,"b'b"" I think that implementation should work"," but the unit tests don\'t really test any of this so those need some more cases tested.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,1007,closed,11,2012-10-24 16:21:12,1116.52,,,1,b'b\' So, I\\\'m seeing some weirdness in the unit tests with these recent commits. Specifically, in Chrome," the test labeled ""script"," Remote with POST"" yields the following error periodically in Chrome ""ajax error"," status code: 412"". Not entirely sure what\\\'s up with that. Firefox", Opera, and Safari appear to be kosher. I don\\\'t know if that\\\'s something funky in Chrome or in my configuration of Apache. Moving onto testing the IE\\\'s. (yay).\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,1007,closed,12,2012-10-24 16:21:12,1264.37,1,,,"b""b' Ah", balls," I had to run out the door before finish that IE testing and forgot about it. Sorry gents. Let me spin up sauce today and run those unit tests.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,1007,closed,13,2012-10-24 16:21:12,204.7,1,,,"b'b"" Ok", so the IE\'s are being particularly snarky with me. I don\'t know enough about the way the test suite is designed to be able to determine if I bunked something up or not. The worse part is these errors don\'t seem to be consistent across runs. :| I\'m running the IE\'s in a remote VM hosted on Sauce," so I guess it\'s possible my network tunnel isn\'t working well right now? Hoping @dmethvin can shed some light. Screen shots below are from IE7-10. 6 behaved essentially the same way so I stopped taking screen shots. heh. ![IE7]url  ![IE8]url  ![IE9]url  ![IE10]url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,1007,closed,14,2012-10-24 16:21:12,1105.87,,1,,"b'b"" @farmdawgnation don\'t be discouraged"," there\'s a lot of moving parts here. I can take what you\'ve got and work with it.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,1007,closed,15,2012-10-24 16:21:12,3.68,,,1,"b""b' Ok", cool @dmethvin. I was genuine about wanting to see the working solution to these tests explained if possible. I do want to continue to try and become more involved in jQuery," and understanding the test suite is going to be a part of that.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
