REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,6,2012-08-08 11:41:24,15.4,,1,,"b'b"" @bilderbuchi Didn\'t know that script existed. Should be fixed now...""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,7,2012-08-08 11:41:24,82.8,,,1,"b""b' great"," thanks :-)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,8,2012-08-08 11:41:24,1215.47,,1,,"b'b"" I\'m having some problems with ofDrawBitmapString. Sometimes it works and sometimes I only get white bars and no font (on ubuntu). Bitmap string works with images"," right? Maybe those images are initialized too early or not at all. is there some command that gets called to create them or how does it work?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,9,2012-08-08 11:41:24,47.68,,1,,"b'b"" it actually uses a texture but it\'s lazily initialized the first time it\'s used so it shouldn\'t be a problem. perhaps try to wait some frames before drawing the text to see if that fixes it but don\'t think it\'s the reason. the code is in ofBitmapFont""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,10,2012-08-08 11:41:24,402.68,,,1,"b""b' does this still need os x and win libs ? or what is left to be able to merge this in?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,11,2012-08-08 11:41:24,851.52,,,1,"b""b' It still needs win libs. Mac & Linux are ready. EDIT: actually linux 32bits libs are missing too. Will add them later today.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,12,2012-08-08 11:41:24,128.47,,,1,"b""b' We could also use a neat example. Anybody got a good idea?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,13,2012-08-08 11:41:24,561.57,,1,,"b'b"" Hi Friends", I\'m attempting to get GLFW running on Raspberry pi to work with this branch, but still running into issues," even with the GLFW EGL branch.  Has anyone tried this?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,14,2012-08-08 11:41:24,879.58,,1,,"b'b"" @bakercp would be awesome if this worked. I\'m sorry that I can\'t help you but I have no raspberry...""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,15,2012-08-08 11:41:24,22.17,1,,,"b'b"" I have rasberry pi I can loan out for a couple of weeks if it helps.  email me off github... (sorry didn\'t mean to close the pull request"," reopening)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,closed,2012-10-17 11:33:14,1431.83,1,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,reopened,2012-10-17 11:33:18,0.07,1,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,16,2012-08-08 11:41:24,28.45,,1,,"b""b' mail sent'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,17,2012-08-08 11:41:24,90.98,,1,,b'b\' Also, I started a branch last night here url  I\\\'ve updated all of the linux  scripts and now have oF release and debug libs compiled," and all of the other libs (except fmodex compiled).  Nothing ""working"" yet", but the foundation is being built. \'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,18,2012-08-08 11:41:24,1228.85,,1,,"b""b' @bakercp I now have a raspberry pi. Do you mind answering some questions about your branch on IRC or something?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,19,2012-08-08 11:41:24,222.2,,1,,"b'b"" hey @underdoeg -most certainly.  I\'ll contact you offline via email.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,20,2012-08-08 11:41:24,2.35,,1,,"b'b"" I finally added the compiled glfw libs for Code::Blocks on windows. But I can\'t create the visual studio projects with cmake. It fails with the following error: LINK : fatal error LNK1123: Fehler bei der Konvertierung in COFF: Datei ist  ung\\xc3\\xbcltig oder besch\\xc3\\xa4digt. Don\'t know why it is German but it means something like LINK : fatal error LNK1123: Error converting COFF: File is invalid or corrupted""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,21,2012-08-08 11:41:24,547.5,,,1,"b'b"" Hey @underdoeg would you be able to update this to work with the recent updates (and a few others)?  I\'m ready to do some heavy testing on this branch and would make the updates myself ... but figured that you might be able to do it more quickly.  Cheers"," CB""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,22,2012-08-08 11:41:24,918.25,1,,,"b""b' @bakercp done. sorry for the delay...'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,23,2012-08-08 11:41:24,70.98,,,1,"b""b' Exciting -checking it out.  Thanks!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,24,2012-08-08 11:41:24,12.43,,,1,"b'b"" @bakercp  great! What plattform are you trying? Mac? I wonder if OF_GAME_MODE works as expected. I\'m currently developing on ubuntu. Next task is fullscreen toggling...""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,25,2012-08-08 11:41:24,18.88,,1,,"b'b"" @bakercp btw"," I just updated the glfw libs from the current github master and cmake now has a new built in option GLFW_USE_EGL to enable. Don\'t know if it already works on the raspberry and similar devices though...""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,26,2012-08-08 11:41:24,836.58,1,,,b'b\' glfw can support NOTIFYICONDATA callbackMessage? maybe,glut can\\\'t do it.  void ofAppGlutWindow::initializeWindow(){  glutMouseFunc(mouse_cb);  glutMotionFunc(motion_cb);  glutPassiveMotionFunc(passive_motion_cb);  glutIdleFunc(idle_cb);  glutDisplayFunc(display);  glutKeyboardFunc(keyboard_cb);  glutKeyboardUpFunc(keyboard_up_cb);  glutSpecialFunc(special_key_cb);  glutSpecialUpFunc(special_key_up_cb);  glutReshapeFunc(resize_cb);  glutEntryFunc(entry_cb); } For example #define WM_MYMESSAGE WM_USER+101 NOTIFYICONDATA tnd;\\xe3\\x80\\x80=sizeof(NOTIFYICONDATA);\\xe3\\x80\\x80=this->m_hWnd;\\xe3\\x80\\x80=IDR_MAINFRAME;\\xe3\\x80\\x80=NIF_MESSAGE|NIF_ICON|NIF_TIP;\\xe3\\x80\\x80=WM_MYMESSAGE; >\\xe3\\x80\\x80=LoadIcon(AfxGetInstanceHandle(),MAKEINTRESOURCE(IDR_MAINFRAME));\\xe3\\x80\\x80strcpy(,"test  tray"");\\xe3\\x80\\x80Shell_NotifyIcon(NIM_ADD,&tnd);\''
openFrameworks	1470	closed	27	underdoeg	2012-08-08 11:41:24	659.0		+1		b'b"" @yty  You mean if you\'re able to use thisNOTIFYICONDATA functionality with glfw? I guess so. It\'s probably not built in but glfw can expose the native window handlers and I guess that is all you need for native system calls?""'
openFrameworks	1470	closed	28	bakercp	2012-08-08 11:41:24	251.97			+1	b'b"" Hey @underdoeg I\'\'ve spent some time with this and have a few initial thoughts:Is there a way to move away from the \\\\* pointer style for  ?  It seems to mix both raw and (via  ).  It seems that all of them could be replaced with  .  The only hangup I found is when the window itself calls the window manager to activate the current window using the argument.  That could be fixed via a friend class setup.  Another option would be to get rid of the default constructor on and use something like to keep it all raw-pointer free.  Maybe it\'s not a big deal, but it seems that we need to do one or the other and not mix.  Then in the destructor for we just need to make sure that the window manager and glfw both are notified and everything is destroyed in the correct order ... (perhaps not trivial :)).I\'m wondering if our ofEvents need to have a base field with a window id (ideally just an unsigned int)?  I\'m imagining that you could add (referring to the main class as a listener to the main window, if the main window class implemented / extended the listener).  In such a case, it would be important to know where various events were coming from.With GLFW, we can get rid of the bug-prone #652 , although with GLFW it might stay updated a little better ... or maybe not.  Is there an easy way that we could bypass that functionality when using the glfw window?  It seems like you might just look at the current window and see if it is glfw.Fullscreen it looks like this is still not implemented on os x and will need to be custom platform-specific code, unless we destroy and create the new windows each time the is changed?  Any idea why glfw doesn\'t implement this internally?  It seems like a pretty basic thing ... ? More thoughts over the next few days. Overall, this is a very exciting (and much needed) departure from GLUT.  Even if it didn\'t offer multiple windows it would be an upgrade!""'
openFrameworks	1470	closed	29	underdoeg	2012-08-08 11:41:24	67.8			+1	b'b"" Hey @bakercp Cool you had the time to check it out. I\'ll just post my initial thoughts right now:Sure we could use an ofWindowPtr somehow. (I\'m not going into all the technical problems now.) What is your main reason for this? Cosmetics or functionality? I\'m asking because if I as a user request a window pointer, I\'ll assume that all destruction etc will be handled internally. Or are you rather concerned that a user might accidentally keep an ofWindow\\\\* that actually points to a destroyed window?I have created a base class ofWindowEvent for that purpose that has a pointer to the ofWindow that is sending the event. This touches the ofWindowPtr thing but I think it might be more convenient than just an id? url  AFAIK glfw also does not have this handled right. But I think with custom window code and glfwGetKey() to check whether a modifier key is pressed, we might be able to get somewhere? (Have you ever tried this. It\'s also not flawless but is the right direction url  )I have no idea why this isn\'t implemented. It also wasn\'t in the older version. I think the idea is to either use game mode or windowed mode... (?) But it is fairly easy to build in, so I\'m  not that concerned about it. I\'ll try the mac version when I get to a mac again. (my mac vm somehow broke...)""'
openFrameworks	1470	closed	30	bakercp	2012-08-08 11:41:24	529.47		+1		b'b\' I\\\'ve continued to spend more time on this today and have a few discussion questions / propositions, particularly related to input events.1. the event has traditionally reported both the drag position AND the (supposed) button that is being pressed to cause the ""move"" to become a ""drag"".  But, in the current paradigm, that single number does not completely describe the situation of multiple buttons being pressed, or pressed and released in succession.  Instead, if you really want to know which buttons are being pressed, you must call with an optional argument to query a specific button.  GLFW (like many windowing systems) does not report ""drag"" events, but rather reports mouse movement and lets the user check to see if any mouse button is pressed.  Thus, instead of making documentation caveats about what the ""button"" in the drag function actually means, I\\\'d propose removing the ""button"" argument from the drag function and encouraging the use of to discover the true nature of the buttons being pressed.2. Unified touch / mouse and ""pointer"" events.  This one may be more controversial, but I would propose that we take the opportunity to unite touch and mouse events into a single event.  Pointer is the term used by Microsoft and others to describe ""pointing"" input devices like touches, mice, trackballs, pens, etc.  While many of the parameters like ""touch size"" and ""pressure"" would simply be set to default static values for a mouse event (for instance), it would offer more flexibility for guis, etc.  Within the there would be an enum that described the device ""type"" (mouse, touch, pen, etc).  GLFW has plans to incorporate touch events in the 3.0 roadmap, and most modern operating systems now support touch events to varying degrees.  This would also help us move toward making ios apps look a little more like desktop apps, and would also allow easy integration with addons like  , TUIO, and addons that attempt to leverage the OSX multitouch private framework.3. I\\\'d propose starting an official openFrameworks branch for this so that it is easy for people to start testing this very thoroughly.  I\\\'d also propose going GLUT free on that test branch rather than having both windowing systems living side by side (which I know was @underdoeg original intent). I\\\'m pushing a bunch of updates, additions and proposals over to @underdoeg tomorrow for discussion.  @kylemcdonald perhaps we can talk about some of this in the IRC meetup tomorrow?\''
openFrameworks	1470	closed	31	ofZach	2012-08-08 11:41:24	488.48	+1			b'b"" quickly, I\'m not a huge fan of (1) since it seems sort of counter intuitive to me.  It probably makes sense to look at a majority of cross platform window systems (ie, url  and see what they do.  To be honest, I haven\'t seen that many mouseMoved only window systems, but maybe I haven\'t seen that many window systems :)  curious what other people think ? but 2 would make a lot of sense and it\'s something that\'s been discussed before .  I would support very much.  ofPointer is kind of an easily misleading name however, since pointer / ptr has so much c++ connotation.  Also, we sort of already have this with the touch event in ofEvents:  so it might just be a matter of finding a way to make the mouse events mesh better with the touch events.  a branch for this kind of development sounds good to me....""'
openFrameworks	1470	closed	32	underdoeg	2012-08-08 11:41:24	50.25			+1	b'b\' I also feel like 1 is a little counter intuitive. But it sure makes sense and that is why all window managers implement it in that way. But on the other hand with OF we\\\'re trying to simplify stuff (otherwise you could just use glfw directly...) I feel like it is always some sort of balancing act between simplicity and the ""correct"" way to do things. I like the approach to have the most common usage wrapped up as easily as possible and if you need special functionality you can get it by a little digging into the more hidden functions. But about the dragging and mouse pressed argument in general. What if mouse pressed was some sort of specialized vector? so you\\\'d have a syntax like  (0) //button  0 is pressed or that could also be (OF_MOUSE_BUTTON_LEFT)  2 absolutely needs to be done in the near future IMO 3 With this multiwindow branch we could go two ways. a) to simply remove GLUT and replace with GLFW without touching the general syntax as much as possible. That\\\'s what I tried to do so far and in this case I don\\\'t mind having GLUT still in there as an option. or b) to rethink how input events, and other window events are handled and do it in a smarter way. But that probably leads to signficant API changes and may even result in compatibility issues with older apps. When I started the branch, I would have loved to do b) straight away but I thought the proper way would probably be to do a) first and when glfw if properly within OF and everything works as before, we can move to b).  But I also think we should have a branch on the official OF repo.\''
openFrameworks	1470	closed	33	bakercp	2012-08-08 11:41:24	16.35	+1			b'b"" @yty I\'m not on windows, but an example of a native system call example for Cocoa is (it has to live in an .m file): the header exposes the following for windows: I discovered that the OSX static lib in @underdoeg\'s repo was not compiled with native window exposure compiled in, so I had to change some cmake settings and recompile to get it.  I believe it is compiled in for Linux, as it is being used for the x11 native fullscreen work-around.  If you get missing symbols for you\'ll likely need to recompile it. If you do, use @underdoeg\'s fork of GLFW, because some features have changed in the main GLFW branch even since he made his clone. Also, make sure that you do something like: in your code to both expose the native methods and include the headers.""'
openFrameworks	1470	closed	34	underdoeg	2012-08-08 11:41:24	37.32		+1		b'b"" @bakercp That is correct, I have the native window exposure only compiled on linux atm. Will you include the libs for OS X with your PR? I plan on updating my glfw fork soonish. I should be able to recompile windows and linux then. Can you do mac when I\'m ready? Somehow my lion vmware image doesn\'t boot anymore.""'
openFrameworks	1470	closed	35	bakercp	2012-08-08 11:41:24	112.9			+1	b'b"" Yeah, I\'ll include the osx lib with my PR (coming soon, seriously), and yes I\'m happy to compile the osx version when we update.  The current main branch makes a few changes that break things like window / screen size.  Z.B, I think it breaks: because is being replaced by the work on the multiwindow branch (which is almost integrated and may be what we should be using for our next update ...).""'
openFrameworks	1470	closed	36	underdoeg	2012-08-08 11:41:24	1309.63		+1		b""b' I just updated to the latest glfw dev version. @bakercp do you have the time to recompile the os x libs?'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,37,2012-08-08 11:41:24,1111.95,,1,,"b'b"" @underdoeg what\'s the state of this? the gles2/gl3 branch is done already and i want to integrate this before merging into develop""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,38,2012-08-08 11:41:24,38.03,,1,,"b'b"" hey @arturoc It works and could be merged. However it still needs testing by other users than me. Especially on other platforms. I currently only use linux so the compiled glfw libs are only up to date on that platform. I could work on the windows libs but I don\'t have an up to date os x system.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,39,2012-08-08 11:41:24,15.95,,1,,"b'b"" ok", no worries," i\'ll merge it in my branch and test in other platforms i mortly wanted to know if the api was finished""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,40,2012-08-08 11:41:24,12.47,,1,,"b'b"" The API is finished. There might be some functions missing but all in all it is ready. But it is very much built around backwards compatibility. I was talking with bakercp about that if it would make sense to use this opportunity to clean up how things are handled in the core. Especially the  initialization. This is something this branch does not do. It tries to mimic the existing API and at points kind of hacks the multiwindow functionality into an API that is originally built for single window usage. But best will be if you try it out. You\'ll probably see what I am referring to...""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,41,2012-08-08 11:41:24,3.58,,1,,"b""b' One major issue though is c style functions that refer to window properties are handled. e.g calls like ofGetWidth(). Right now it returns the width of the currently active window but it could also always refer to the main window. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,42,2012-08-08 11:41:24,3.93,,1,,"b""b' hi @underdoeg  this will works also on linuxarm ? '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,43,2012-08-08 11:41:24,8.08,,1,,"b'b"" @kalwalt glfw 3.0 is still not officially released. But linuxarm and EGL support are part of the roadmap. Last time I tried was about half a year ago and then I didn\'t manage to run glfw on my raspberry. It might work now though... ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,44,2012-08-08 11:41:24,8.35,,,1,"b'b"" i tried glfw (i think the 3.0 now i don\'t remember..) time ago with my Pandaboard and it works fine. The problem is integrate in OF with linuxarm see this issue  url but maybe with your multiwindow that can be solved. i will give a try.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,45,2012-08-08 11:41:24,16.2,,1,,"b'b"" I see... Not sure if this is solved atm. But I\'ve  commented on your issue. Did you try that already? This might be relevant for this branch as well.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,46,2012-08-08 11:41:24,1315.25,,,1,"b'b"" @underdoeg i\'m trying your multiwindow branch in linuxarm (Pandaboard) but i get an error  inthis because you start multiwindo in the develop branch but for linuxarm i need the develop-raspberrypi branch . I think that i try to open a new branch from develop-raspberrypi and add your files . i think that there are not other options. will see what happens!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,47,2012-08-08 11:41:24,10.67,,1,,"b""b' maybe can you give me a list of the files of your insertion and changes?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,48,2012-08-08 11:41:24,13.17,,1,,"b""b' oh", I see. that is not as easy," I did actually change quite a lot in different files... Do you get a lot of unmerged files if you simply try to pull my branch into the raspberry branch with git?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,49,2012-08-08 11:41:24,6.55,,1,,"b'b"" i\'ve just merged the multiwindow branch in my programmable renderer one which already has all the elinux changes"," i\'m doing some changes but will upload it in a bit""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,50,2012-08-08 11:41:24,16.7,,,1,"b'b"" @underdoeg  i simply did a git fetch with your repo as upstream"," well i can try a pull but i\'m not feel very confortable with such git operations! i can give a try in the time @arturoc make his changes.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,51,2012-08-08 11:41:24,99.22,,1,,"b'b"" it\'s not simple ", I used your ofEvents.h, , ofEventsUtils., ofWindow.h, ofWindowManager, ofBaseApp, and ofMain," i had to remove the EGL app window ( because use others ofEvent functions) but i got this error : i added an -fpermissive in PROJECT_CFLAGS but not help at all.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,52,2012-08-08 11:41:24,36.23,,1,,"b'b"" ok", I see. what glfw header files are you using? the one in my branch or did you redownload them from url  I guess the glfw api changed a little bit and is not compatible anymore with my version. This is easy to fix on my side but since arturo is also working on this," I\'ll leave my branch ATM. Maybe try it with my branch of glfw url  which is the one I use for the multiwindow stuff. it should be compatible but is one month behind...""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,53,2012-08-08 11:41:24,55.77,,,1,"b'b"" i m using the elmindreda glfw3.h"," instead i wil try with your glfw header but i believe that the static lib won\'t works. i wil to build another static lib with it. Thanks for the info.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,54,2012-08-08 11:41:24,87.55,,1,,"b'b"" Hey @underdoeg I have a bunch of updates to this branch that I was working on a month or so ago and it was paused due to other projects.  I\'m back on this shortly though and will get the recompiled static libs"," into a PR against this branch.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,55,2012-08-08 11:41:24,39.83,,1,,"b'b"" @underdoeg i\'m testing this with the programmable renderer", and there we need to use shaders for everything. right now i\'m creating the shaders as static instances in ofShaders but the second window doesn\'t see them. I can create a renderer per window or have a shared context," or have the option for both. is there a way of activating a shared context?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,56,2012-08-08 11:41:24,91.83,1,,,"b'b"" mmh", so it seems that the shaders are actually shared but the vbo\'s are not, if i create a different vbo in the secondary window then it works. btw, there\'s lots of bugs yet, several methods from ofBaseAppWindow are not implemented, setup is not being called on the listeners, the scroll event is passed to all windows, orientation is not implemented... the architecture is also kind of messy. i\'m refactoring things a bit. @bakercp," can you upload your changes? no matter in what state they are i\'m redoing lots of stuff so just to take a look or merge your changes before going any further.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,57,2012-08-08 11:41:24,76.58,,1,,"b'b"" it seems vaos",fbos and other objects are not shared among contexts," i\'ve added a renderer per window and that solves the problem. i\'ve also changed most things to use ofPtr instead of plain pointers but it think it might be better to convert windows to PIMPL so people don\'t need to use pointers at all i\'m working here: url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,58,2012-08-08 11:41:24,0.87,,1,,"b""b' btw"," @kalwalt that branch already contains the elinux changes so it should work on pandaboard. let me know if it does'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,59,2012-08-08 11:41:24,26.65,,,1,"b'b"" wow i\'m going to fetch that branch but how can i grab only that branch? i add in gitignore the url of your github address but if i do i grab all your branch in my repo that is crazy....""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,60,2012-08-08 11:41:24,9.95,,1,,"b""b' @kalwalt"," try this:url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,61,2012-08-08 11:41:24,1.68,,1,,"b""b' yes you can just do: git checkout developgit checkout -b feature-elinuxglfwgit pull git@: feature-elinuxProgrammableGLFW'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,62,2012-08-08 11:41:24,43.52,,1,,"b""b' oh"," just realized that i recompiled glfw from the latest in github but only for linux64 so you might need to recompile it for armv7 too'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,1470,closed,63,2012-08-08 11:41:24,8.42,,,1,"b'b"" this is not a problem for me. I have problem with the git branches. because i\'m in the raspberrypi branch i\'havent the develop one only the develop-raspberrypi branch . i did but i haven\'t so i fetched from the openframeworks upstream give me a lot of conflicts.?! so i started form the develop-raspberrypi branch but when i didgit said mea long list of filesand ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
