REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,opened,2011-09-17 18:55:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,title,2011-09-17 18:55:48,00:00,,1,,"b""b' some way to subscribe to changes to keys'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,body,2011-09-17 18:55:48,00:00,1,,,"b""b' Hi", I apologize if this feature already exists, but I would like to request having a way to snoop changes to keys.  So a user would subscribe to a key, for example key foo. When anybody else performs a set command on foo, all subscribers get the new value of foo.  Please let me know if this is possible, this would be a killer feature for users like me.  Best," Matt'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,1,2011-09-17 18:55:48,1283.7,,1,,b'b\' Hello, this is something we want to implement, even if I never thought that the system would publish the new value of the key, but the operation performed on the key instead. To quote what I wrote about that in the mailing list recently.So we should have that new GETEVENTS, and possibly PGETVENTS to subscribe to patterns.This would publish in channels named like .. The published event could be the command name in many cases. For instance if I subscribe, using GETEVENTS," to  I would receive a message with the name of the comment every time  is modified. So if another client does SET foo BAR I\\\'ll receive ""set"". This we I can subscribe to the whole keyspace with PGETEVENTS ops.* Another thing I would implement is expire.\\\\* that will receive a message every time a key expires. So everything in this respect is currently pretty fluid. I want to think about it more", design it in the best way, and later implement it. But we\\\'ll get it soon or later, just it is not the right time to implement it right now as we have very big priorities currently. Cheers,Salvatore\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,944,closed,12,2013-02-14 14:41:27,288.82,,1,,"b'b"" Hi"," Was the timing issue resolved? I\'m having a similar error making 2.8.13 on AIX.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,944,closed,13,2013-02-14 14:41:27,73.17,1,,,"b'b"" well"," if you have the same error message it\'s obviously not resolved ;) Can you reproduce it on each run?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,944,closed,14,2013-02-14 14:41:27,1373.87,,1,,"b""b' Yes"," I can. Does anyone think the solution to this could be creating for example an AIX specific polling adapter?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,944,closed,15,2013-02-14 14:41:27,21.07,,1,,b'b\' It could be two things:your system time routines aren\\\'t precise enough, which would cause the Tcl tests themselves to mis-judge how much time to spend waiting for the timeout (both under and over estimating depending on the test)something inside of Redis is using the wrong time values due to an internal Redis issue. Now, we only see the issue rarely, and it seems to only happen on certain platforms," so I\\\'d lean more towards ""something in the system is the problem"" instead of a core Redis code issue. Maybe we could make a simple check (both in the tests and in Redis) to test for accuracy of system timing functions? You can also try adding a large value of in to see if increasing internal server management frequency can give more accurate time values. (try using at first.  if it works", decrease until it stops working, report findings.)\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,944,closed,16,2013-02-14 14:41:27,280.27,,1,,"b'b"" Increasing the internal server frequency didn\'t do anything to the timing function"," although initially at hz 100 all tests passed without errors but  when I tried running it again I had the usual error. Also I committed a couple of changes I made that enabled me to compile Redis on AIX. I was wondering if I can get feedback about the changes just to be sure that they are correct.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,944,closed,17,2013-02-14 14:41:27,1.15,,1,,"b""b' Sure"," where are the changes?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,944,closed,18,2013-02-14 14:41:27,7.53,,1,,"b""b' Here is the link to the branch url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,944,closed,19,2013-02-14 14:41:27,4.6,,,1,"b'b\' That should be ""good enough"" since the test says it may fail sometimes anyway.  Do you have a general feeling for percentage of failure versus runs?  Run it ten times and count which ones fail?  Did it ever work at hz 10 or does it only work at hz 100?  You can also try hz 500 just to compare against too.All those changes look good.  Feel free to squash those commits down into one ""Add AIX support"" commit and open a pull request for it.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,944,closed,closed,2017-07-07 15:25:11,1378.07,2,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,944,closed,-,-,-,2,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,973,closed,opened,2013-02-27 03:55:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,973,closed,title,2013-02-27 03:55:27,00:00,,1,,"b""b' set proctitle'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,973,closed,body,2013-02-27 03:55:27,00:00,,1,,b'b\' 1),fix core dump of void spt_init(int argc, char *argv[], char *envp[]) **attribute**((constructor)); setproctitle.c2),"add a conf option ""proctitle"" in \''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,973,closed,1,2013-02-27 03:55:27,368.33,,,1,"b'b"" Hello", the first change you did, to avoid the GCC-specific constructor thing, is very good IMHO. I\'m going to merge it.The second change, to define the proc title by hand, is nice but maybe not perfect for most users that have yet another thing to handle in ... However there is the alternative to allow for a format specifier in the proctitle string," so that you can still specify things like the address and port printf style. Maybe it\'s a bit an overkill... Another thing I would love to know is: in what system the original implementation caused a segmentation fault?Thanks.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,973,closed,2,2013-02-27 03:55:27,32.88,,1,,"b'b"" antirez",about the proctitle, i have some experiences. I still  think do it  in is a good choice. when SA manages lots of instances, they always use script to do it. If have a tag in disk,More convenient.it\'s my os info. it\'s a vm, running in vmware. core dump 100%. #0  spt_init (argc=7123136, argv=0x0, envp=0x6cb0c0) at setproctitle.c:151151     if (!(base = argv[0]))Missing separate debuginfos, use: debuginfo-install glibc-2.12-1.80.el6_3.7.x86_64(gdb) bt#0  spt_init (argc=7123136, argv=0x0, envp=0x6cb0c0) at setproctitle.c:151#1  0x000000000049c1f6 in __do_global_ctors_aux ()#2  0x0000000000414c13 in _init ()#3  0x00007fff4fa3df80 in ?? ()#4  0x000000000049c165 in __libc_csu_init ()#5  0x0000003b2981ec70 in __libc_start_main () from /lib64/#6  0x00000000004158a9 in _start () [root@centos-stamhe redis]# uname  -aLinux centos-stamhe 2.6.32-220.el6.x86_64 #1 SMP Tue Dec 6 19:48:22 GMT 2011 x86_64 x86_64 x86_64 [root@centos-stamhe redis]# cat /CentOS release 6.2 (Final)Kernel \\\\r on an \\\\m [root@centos-stamhe redis]# gcc -vUsing built-in specs.Target: x86_64-redhat-linuxConfigured with: ../configure prefix=/usr mandir=/ infodir=/ with-bugurl=url  enable-bootstrap enable-shared enable-threads=posix enable-checking=release with-system-zlib enable-__cxa_atexit disable-libunwind-exceptions enable-gnu-unique-object enable-languages=c,c++,objc,obj-c++,java,fortran,"ada enable-java-awt=gtk disable-dssi with-java-home=/-1.5.0-gcj-1.5.0.0/jre enable-libgcj-multifile enable-java-maintainer-mode with-ecj-jar=/disable-libjava-multilib with-ppl with-cloog with-tune=generic with-arch_32=i686 build=x86_64-redhat-linuxThread model: posixgcc version 4.4.6 20120305 (Red Hat 4.4.6-4) (GCC)  -""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,973,closed,3,2013-02-27 03:55:27,18.35,,,1,b'b\' Thank you, ok I merged the first part of your work here: 9c8be6c About setting it via , I\\\'m going to implement it via a format-specifier so that we can default to bindaddress:port but still be able to set it in any other way, however in order to do this I\\\'m trying to understand exactly what to do with the different prefixes," like ""redis-server"" ""redis-rdb-bgsave"" and so forth.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,973,closed,4,2013-02-27 03:55:27,3.65,,,1,"b""b' Just merged the second commit as well"," about aeCreateTimeEvent. Thanks!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,973,closed,closed,2013-03-02 09:18:59,323.53,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,973,closed,reopened,2013-03-02 09:26:24,7.42,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,973,closed,closed,2013-03-25 18:40:49,554.42,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,973,closed,-,-,-,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,976,closed,opened,2013-02-27 10:11:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,976,closed,title,2013-02-27 10:11:27,00:00,,1,,"b""b' add a check for aeCreateTimeEvent'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,976,closed,body,2013-02-27 10:11:27,00:00,,1,,"b""b' 1)","add a check for aeCreateTimeEvent in func initServer'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,976,closed,1,2013-02-27 10:11:27,8.02,,1,,"b'b"" Never mind if you have issues creating the pull request"," I\'ll merge the commit manually.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,976,closed,2,2013-02-27 10:11:27,22.63,,1,,"b""b' haha'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,976,closed,closed,2013-03-02 09:18:36,1387.15,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,976,closed,reopened,2013-03-02 09:26:54,8.3,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,976,closed,3,2013-02-27 10:11:27,380.22,,1,,"b""b' Fixed in e431a9766074aa5a74845f7dd3680079d4ef404e'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,976,closed,closed,2014-07-31 17:02:20,455.43,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,976,closed,-,-,-,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1096,closed,opened,2013-05-09 12:42:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1096,closed,title,2013-05-09 12:42:08,00:00,,1,,"b""b' Enterprise Level Support'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1096,closed,body,2013-05-09 12:42:08,00:00,,,1,"b'b"" Are there any companies that offer Enterprise Level support for REDIS for customers who want to host REDIS themselves in their own datacentres?  i.e. Issue escalation", Agreed Issue Resolution SLA\'s, Follow the sun support etc Appreciate that there is community support," however our IT Operations need ways to mitigate perceived risks before they will allow us to use this in a production environment for mission critical functions.  This is however where we want to use it most to support our website and take load off our databases.  REDIS would be our preferred solution if we could find support.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1096,closed,closed,2013-05-09 12:42:41,0.55,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1096,closed,reopened,2013-05-09 12:42:45,0.07,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1096,closed,1,2013-05-09 12:42:08,62.93,,1,,"b""b' @johnpailing how about using redis cloud service like as redis'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1096,closed,2,2013-05-09 12:42:08,11.7,,,1,"b""b' perfect! On 05/09/2013 09:45 PM"," charsyam wrote:'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1096,closed,3,2013-05-09 12:42:08,66.92,,1,,"b""b' Hello @johnpailing", we use this issue system mainly for technical problems," but I understand very well how your problem is a real one as well. Please contact me via email (antirez -gmail) as I can provide you some info about that. Thanks.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1096,closed,closed,2013-05-09 15:03:41,140.93,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1096,closed,-,-,-,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1259,closed,opened,2013-08-26 14:56:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1259,closed,title,2013-08-26 14:56:21,00:00,,1,,"b""b' Redis still in standalone mode'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1259,closed,body,2013-08-26 14:56:21,00:00,,,1,b'b\' I\\\'ve installed phpredis and added  to . From command line php -i shows that redis is loaded (2.2.3). However," when I launch redis-stat it shows:\\xe2\\x94\\x82 redis_version \\xe2\\x94\\x82 2.6.14 \\xe2\\x94\\x82\\xe2\\x94\\x82 redis_mode \\xe2\\x94\\x82 standalone \\xe2\\x94\\x82 Am I understanding correctly that ""standalone"" mode is slower? If so how do I change this? thanks\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1259,closed,1,2013-08-26 14:56:21,18.47,1,,,"b'b"" You\'re confusing two things here. Redis is the server (the project you posted this on). The module you added to your  is the client library used to talk to the redis server. mode is the default mode of the redis server (and is what you want). Other modes are or  .""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1259,closed,2,2013-08-26 14:56:21,3.73,,1,,"b""b' Was not sure if to post here or phpredis. Sounds like standalone is best then. thx'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1259,closed,closed,2013-08-26 15:18:33,22.2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1259,closed,reopened,2013-08-26 15:18:45,0.2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1259,closed,closed,2013-08-26 15:18:58,0.22,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1259,closed,-,-,-,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1379,closed,opened,2013-11-15 11:12:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1379,closed,title,2013-11-15 11:12:27,00:00,,1,,"b""b' hiredis blocked while lpush-2 2.4.16'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1379,closed,body,2013-11-15 11:12:27,00:00,,1,,"b'b"" This is a problem happened several times on my online game server.  strace -p 15378Process 15378 attached interrupt to quitread(5", ez_conn 15376 crserver1  0u  IPv4 6757407  0t0  TCP 172.16.2.195:50001->ec2-54-241-178-0.us-west-1:51447 (CLOSE_WAIT)ez_conn 15376 crserver1  1u CHR 136,0  0t0    2 / (deleted)ez_conn 15376 crserver1  2u CHR 136,0  0t0    2 / (deleted)ez_conn 15376 crserver1  3w REG  8,17  1149588 22626778 /ez_conn 15376 crserver1  4u  IPv4  877785  0t0  TCP :37078->:52001 (ESTABLISHED)ez_conn 15376 crserver1  5u  IPv4  877787  0t0  TCP :37079->:52001 (ESTABLISHED) here io handler 5 is the fd connect to redis," which is blocked while reading result from redis server on the command \'lpush\'.can I set timeout for redisCommand?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1379,closed,closed,2013-11-15 17:41:29,389.03,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1379,closed,reopened,2013-11-16 03:38:22,596.88,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1379,closed,1,2013-11-15 11:12:27,1053.8,,1,,"b'b"" I am not so sure the meaning of strace output"," butWhat\'s the client connect to redis-server?Have redis-server received the lpush (check by monitor)?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1379,closed,2,2013-11-15 11:12:27,696.68,,1,,"b""b' I think the key point is using block mode socket without setting timeout. I only connect to redis server by redisConnectWithTimeout", which will set fd to block mode.I should use redisSetTimeout after the connecting," then the redisCommand will not block so long while there is some problem for hiredis reading from the fd.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1379,closed,3,2013-11-15 11:12:27,828.37,,1,,"b""b' Please reopen this issue on the hiredis repository.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1379,closed,closed,2013-11-17 06:11:18,152.93,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1379,closed,-,-,-,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1516,closed,opened,2014-01-21 05:38:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1516,closed,title,2014-01-21 05:38:52,00:00,,1,,"b""b' fix spell of rewrite in aof.c'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1516,closed,body,2014-01-21 05:38:52,00:00,,1,,"b'b\' Fix two spell bugs about ""rerwite"" to ""rewrite"" in aof.c\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1516,closed,1,2014-01-21 05:38:52,181.93,,1,,"b""b' +1 This is clear patch for missed typo.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1516,closed,closed,2014-01-21 09:01:54,203.03,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1516,closed,reopened,2014-01-21 09:02:36,0.7,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1516,closed,2,2014-01-21 05:38:52,459.55,,1,,"b""b' Tracking in #1871 '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1516,closed,closed,2014-07-31 16:20:21,437.75,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1516,closed,-,-,-,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1604,closed,opened,2014-03-13 10:33:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1604,closed,title,2014-03-13 10:33:42,00:00,,1,,"b""b' full disk -> 0 size . all data lost.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1604,closed,body,2014-03-13 10:33:42,00:00,,,1,"b""b' redis-server  2.4.14 (debian wheezy). Full disk", perform shutdown with redis-cli,"  gets truncated to 0 bytes! '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1604,closed,1,2014-03-13 10:33:42,38.52,,1,,"b""b' Are you sure? Redis does this:Writes data to RDB file with a temporary name (the other file is not touched).Try to rename(2) the new file to the old one. So in theory what you described should never happen.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1604,closed,2,2014-03-13 10:33:42,74.05,,1,,"b""b' I had a problem with a system crash this week. After reboot and cleanup (full disk) redis databasewas 0 size. Today I tried to recreate the scenario  and that is what happened. It is easy", just put to a temp fs," fill it up and issue shutdown.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1604,closed,3,2014-03-13 10:33:42,178.55,,1,,"b'b"" With a modern Redis (2.8.x)", when I fill up a tiny filesystem and try to  , I get: Client: Server: If I go back to 2.4.14 (almost two years old by now), I get the same behavior: Client: Server: In both cases Redis can\'t save the RDB on exit, so it refuses to exit with a normal  .  (Though, this was tested on OS X and it\'s possible under Linux you run into a different edge case.) Do you have a set of commands to reproduce your behavior?  (create tmpfs, start redis-server, write, save, fill up tmpfs, shutdown redis, start redis, now there\'s no data?) Some file system recovery processes can zero out files," especially since you mentioned a cleanup after a reboot.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1604,closed,4,2014-03-13 10:33:42,38.12,,1,,"b""b' Set of commands: Server log:  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1604,closed,closed,2014-03-13 16:02:56,329.23,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1604,closed,5,2014-03-13 10:33:42,23.9,1,,,"b'b\' I confirmed this does fail under Linux on a modern Redis (unstable HEAD at the moment).  I think you hit ""Comment and Close"" by mistake instead of just ""Comment"" with your last post. Tested on a generic vagrant vm: Steps:  [different shell] [add some things;  ; verify  has data][fill up remaining space in your tmpfs mount]  [back to redis-cli]  shutdown completes", but now  now has zero size. Before: After:  \'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1604,closed,6,2014-03-13 10:33:42,131.82,1,,,"b'b"" Fixed!  I\'ll add a pull request soon. Thanks so much for reporting this data loss error.  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1604,closed,7,2014-03-13 10:33:42,797.33,1,,,"b""b' Sorry about closing was a bit in a hurry. It fails in the same way on ext4"," ext3 and tmpfs all on linux.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1604,closed,reopened,2014-03-14 07:55:59,953.05,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1604,closed,8,2014-03-13 10:33:42,2.8,,1,,"b""b' I am new to this. Commenting just to leave it closed.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1604,closed,closed,2014-03-14 07:58:47,2.8,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1604,closed,-,-,-,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1771,closed,opened,2014-05-22 07:10:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1771,closed,title,2014-05-22 07:10:58,00:00,,1,,"b""b' Software watchdog crashes redis during rdb save point'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,1771,closed,body,2014-05-22 07:10:58,00:00,,1,,"b'b\' We got some trouble with our redis server regarding timeouts and high latencies. Regarding the latency documentation url  we tried to activate the software watchdog. Our save points are ""standard"" (rdb): We got 16 databases and a maxmemory of 48GB. We enabled the software watchdog first with 500 ms via A save point was triggered (with watchdog enabled) and the redis server crashed immediately. Redis-Version: 2.8.9Operating System:  Here are the logs of crash + restart:  1571] 21 May 18:06:26.550 * Background saving started by pid 20267[20267] 21 May 18:08:25.195 * DB saved on disk[1571 | signal handler] (1400688506) WATCHDOG TIMER EXPIRED -[1571] 21 May 18:08:26.331 #  === REDIS BUG REPORT START: Cut & paste starting from here ===[1571] 21 May 18:08:26.331 #   Redis 2.8.9 crashed by signal: 11[1571] 21 May 18:08:26.331 #   Failed assertion:  (:0)[1571] 21 May 18:08:26.331 # STACK TRACE       _._                     _.__ \\\'\\\'-._                 _. _.  \\\'\\\'-._     Redis 2.8.9 (00000000/0) 64 bit  . .\\\\/  _.",_ \\\'\\\'-._            (  \\\'  ,   .,  )   Running in stand alone mode | -..._.-\\\'|   Port: 6380 |   ._  /   _.-\\\'  |   PID: 20398 -._ -._ -.__.-\\\'  _.-\\\'_.-\\\'   -._    _.-\\\'_.-\\\'  |     url    -._ -._ -.__.-\\\'  _.-\\\'_.-\\\'   -._    _.-\\\'_.-\\\'  |             -._ -._   -._    _.-\\\'                   \'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
