REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,16985,closed,5,2015-03-03 15:32:11,19.87,,1,,"b""b' @sirthias  +1  I have a similar case with dynamic subscriptions in url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,16985,closed,6,2015-03-03 15:32:11,226.07,,1,,"b""b' Also I need to note that and  must have the behaviour sometimes.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,16985,closed,7,2015-03-03 15:32:11,21.38,,1,,"b""b' @smlin In most cases you should get away with an followed by a or a before an  .'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,16985,closed,8,2015-03-03 15:32:11,1167.83,,1,,"b""b' Closing this one as invalid: AsyncStage should be able to cover all cases"," especially once we port  to it.'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,16985,closed,closed,2015-04-20 08:05:32,993.35,0,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,16985,closed,9,2015-03-03 15:32:11,1310.32,,1,,b'b\' I\\\'d like to reopen this discussion.  I think my use case may be a bit different to @sirthias. We currently have integration that most people use in Play for handling websockets with actors, here\\\'s the docs: url  My hope was that I could deprecate everything in Play specific to handling WebSockets in Play with actors, and point users to something in Akka streams that replaces it.  Not quite. So, firstly, is not appropriate for use here," as there typically no ""mapping"" between input websocket messages and output websocket messages", reactive maps is a good example, an input message updates the users location or viewport area, an output message updates the users viewed area periodically there is no map done. could be used, but this is awkward to integrate into an Akka application, again consider reactive maps, you can\\\'t directly subscribe an to a distributed pubsub actor, which reactive maps needs to do.  Instead you have to create an actor that would subscribe itself to the distributed pubsub actor and feed everything it receives into the somehow.  Since you\\\'re creating an actor anyway, why not have that actor just be the actor that handles the flow? So, the interface that I\\\'d like to see on is: The function would pass in the actor that the flow actor can use to send messages to, that actor would have the same contract as  , and it would return an actor that can be used to receive messages, that actor will have the same contract as the actor passed to  .  Note, give the contracts of these actors, back pressure is never propagated, but that\\\'s a natural consequence of using actors, and is not necessarily a bad thing for applications that have embraced the actor model, such as reactive maps. Note that the above can almost be implemented today on top of the Akka streams API, except that it requires an intermediate materialization, making it only possible to use it once: Perhaps the only additional thing here, is since the actor is being created by the method, it should also be automatically shutdown when the stream completes.\''
akka,16985,closed,10,2015-03-03 15:32:11,212.43,1,,,"b""b' Sorry for the long delay", the github notification somehow floated to the bottom of the pile. I think that we do indeed need to discuss this further," in particular which exact semantics we want to model\\xe2\\x80\\x94that will then inform our decision on which API to offer.'""",,,,,,,,,,,,,,,,,,,,,,,,
akka,16985,closed,reopened,2015-10-01 09:28:17,82.75,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,16985,closed,11,2015-03-03 15:32:11,34.75,,,1,"b""b' We have StageActorRef now for GraphStageLogic"," so using Actors anywhere near a Stream is both unneeded and possible :-) (i.e. when interfacing with existing APIs a GraphStage can now do so natively).'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,16985,closed,closed,2015-12-16 10:03:07,34.83,1,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,16985,closed,12,2015-03-03 15:32:11,1061.25,,,1,"b'b"" One question though when interacting with  ", do you have to manage back pressure?  Or more to the point, if I don\'t want backpressure, but rather want a configurable strategy for what to do when buffers are full, is there a simple solution for me to use? The example use case is the one everyone always uses in WebSockets 101 a simple chat room.  In a chatroom, it\'s fine to drop the connection if the client doesn\'t consume messages fast enough, and if it\'s a problem, you can place a limit on the rate at which any one client can send messages, dropping the connection when they exceed that, so back pressure is not needed.  In , implementing a simple chat room is only a handful of lines of code: This makes for a great code example, it\'s very easy to understand, and when people want to evaluate what server they are going to use to provide their websockets, they\'re going to look at things like this to see how simple it is.  So what\'s our answer to that with Play using Akka streams (or Akka HTTP using Akka streams even)? The simplest I can come up with is this: Aside from being more lines of code, this has the following problems:You need to understand actor watching.You need to understand the semantically very complex and interfaces.You need to understand materialization, and why you need to pass a function to handle it in  There\'s a race condition where a user could send a message before they are in the list of users to receive a message ie, they won\'t receive their own messages this doesn\'t exist for the  solution.  Solving this, at my best effort, requires about another 30 or so lines of code, where you have to have another actor per user, and do some state management to buffer messages until you\'ve received the actor to send with.  This is probably the biggest problem with the above solution.  It\'s also a problem if you want to do any  processing on the WebSocket, since there\'s no association between the in and the out, and getting this association requires a similar solution to the above. So," does the new API make this very common and very simple use case for WebSockets simple to implement with Akka streams?  Or do we need to keep this [supplemental Akka streams API]url  in Play to provide it?""'",,,
akka,16985,closed,13,2015-03-03 15:32:11,1348.8,,,1,"b""b' StageActorRef locally has all the semantics of an ActorRef"," nothing more and nothing less (making it remote-capable is scheduled for later and not relevant for most use-cases). The answer to your questions is \\xe2\\x80\\x9cyes\\xe2\\x80\\x9d: GraphStage gives you\\xe2\\x80\\x94the library developer\\xe2\\x80\\x94all the tools to create a nice single-line abstraction that users can use to plug their Actor into a websocket flow. We can discuss details separately.'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,16985,closed,-,-,-,1,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17051,closed,opened,2015-03-18 11:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17051,closed,title,2015-03-18 11:33:00,00:00,,1,,"b""b' Multipart MIME parser may swallow MIME errors depending on stream chunk size'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17051,closed,body,2015-03-18 11:33:00,00:00,,1,,"b""b' I have found that the will behave quite differently with invalid MIME streams depending on how the stream has been divided into chunks. I have uploaded a failing test to url  (Run it with  ) I have picked out one example: when a MIME body part is missing its headers", the MIME parser will throw a fairly helpful error if the request is  : However, if the same MIME stream is or  ," then the error will not be thrown. Instead the BodyPart stream will be truncated (without error) at varying lengths depending on the exact chunk size used.'""",,,,,,,,,,,,,,,,,,,,,,,
akka,17051,closed,1,2015-03-18 11:33:00,1322.62,,1,,"b""b' /cc @sirthias'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17051,closed,2,2015-03-18 11:33:00,232.78,,1,,"b'b"" @sirthias -did you manage to get anywhere with this? I tried to look but couldn\'t figure out where the bug might lie.""'",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17051,closed,3,2015-03-18 11:33:00,1.03,,1,,"b""b' @RichardBradley see PR #17121.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17051,closed,4,2015-03-18 11:33:00,18.0,1,,,"b'b"" Thanks"," sorry for not spotting that. Do you know why that PR hasn\'t been merged and this issue closed? Is it just in a queue?""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,17051,closed,5,2015-03-18 11:33:00,3.3,,1,,"b'b"" It\'s just still in the queue"," as you can see the list of open PRs is quite long and the easter holidays took their toll...""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,17051,closed,6,2015-03-18 11:33:00,1.17,1,,,"b""b' OK"," thanks very much.Sorry for the noise. :-)'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,17051,closed,closed,2015-04-16 11:44:01,11.02,2,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17051,closed,7,2015-03-18 11:33:00,1316.35,1,,,"b""b' The test still fails for me on Akka  . The behaviour no longer varies by the streaming chunk size", but the MIME message is truncated on error, whereas I would expect the stream to fail with a MIME parsing error. When the entity is Strict," unmarshalling does fail with a MIME parsing error. I think it is a bug for streamed entities to swallow these errors. I have updated the test case at url  -please could you retest and reopen this issue if you agree?'""",,,,,,,,,,,,,,,,,,,,,,,
akka,17051,closed,reopened,2015-05-13 12:28:45,44.73,3,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17051,closed,8,2015-03-18 11:33:00,220.98,,1,,"b'b"" This seems to depend on the preamble"," that\'s also why the existing tests didn\'t catch it.""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,17051,closed,9,2015-03-18 11:33:00,38.25,,1,,"b'b"" There\'s more broken that this. Another test that fails is this one: which is just one failing example where the first boundary itself is chunked. It seems in too much data is thrown away in the continue call.""'",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17051,closed,10,2015-03-18 11:33:00,4.35,,1,,"b""b' I pushed a partial fix that already fixes the new issue but not the one by @RichardBradley '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17051,closed,11,2015-03-18 11:33:00,0.12,,1,,"b""b' PR #17654'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17051,closed,12,2015-03-18 11:33:00,1124.67,,1,,"b""b' Closed by #17654.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17051,closed,closed,2015-06-17 10:56:37,1347.87,3,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17051,closed,13,2015-03-18 11:33:00,41.58,,,1,"b""b' Thanks!'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17051,closed,-,-,-,3,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17074,closed,opened,2015-03-25 14:32:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17074,closed,title,2015-03-25 14:32:48,00:00,,1,,"b""b' errata in stream-flows-and-basics docs'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17074,closed,body,2015-03-25 14:32:48,00:00,,1,,"b'b\' There is an errata in akka stream document url  Comment in example code of section ""Defining sources"," sinks and flows"" has some errata: \''",,,,,,,,,,,,,,,,,,,,,,,,,
akka,17074,closed,1,2015-03-25 14:32:48,1044.17,,1,,"b""b' Fixed by #17075.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17074,closed,closed,2015-03-30 07:56:58,1044.17,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17074,closed,reopened,2015-03-30 08:02:34,5.6,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17074,closed,2,2015-03-25 14:32:48,5.95,,1,,"b""b' Not yet fixed"," because fix was merged to a wrong branch.'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,17074,closed,closed,2015-03-30 08:04:44,2.17,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17074,closed,-,-,-,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17115,closed,opened,2015-04-01 05:43:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17115,closed,title,2015-04-01 05:43:47,00:00,,1,,"b""b' Akka git repository cannot be pushed to an empty repository'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17115,closed,body,2015-04-01 05:43:47,00:00,1,,,b'b\' This is a strange issue. I\\\'m putting it here FTR but it seems there is no immediate solution available. It seems the akka repository got corrupted early on in 2009. I.e. it contains some invalid trees that cannot be pushed: In fact," there are lots of those trees in a freshly checked-out repository: All these trees seem to be part of the early history of the master branch. All the real ""solutions"" I found consisted of rewriting the complete history fixing the broken objects which is not an option here. The only workaround I know is not trying to push into empty git repositories but to create the target repository by cloning from the original one (my use case was to create a private mirror of the Akka repository for backing up private branches). So", that\\\'s basically the same process as cloning the repository on github. It isn\\\'t possible, though, to create an empty (i.e. non-forked) repository on github or gitlab and push the current akka history into it.\'',,,,,,,,,,,,,,,,,,,,,,
akka,17115,closed,1,2015-04-01 05:43:47,76.1,1,,,"b""b' This is very strange"," I did exactly what you describe last year and it worked without any issues. Are you sure that you tried this on a fresh clone?'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,17115,closed,closed,2015-06-16 07:59:00,135.22,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17115,closed,2,2015-04-01 05:43:47,72.28,,1,,"b'b"" FTR: I don\'t mind closing this"," but this is still broken (and cannot be fixed). Cloning the repository works but pushing into an empty repository fails.""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,17115,closed,3,2015-04-01 05:43:47,169.0,,1,,"b""b' I closed it since you didn\\xe2\\x80\\x99t reply: a few months ago I did just what you describe and it worked.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17115,closed,4,2015-04-01 05:43:47,1.22,,1,,"b""b' In any case"," I don\\xe2\\x80\\x99t see a way to fix this since it seems to be due to github changing some things (how else could it have been pushed before?).'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,17115,closed,5,2015-04-01 05:43:47,688.33,,1,,"b""b' Have same issue while pushing mirrored repo to the empty repo. Any advises?'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17115,closed,6,2015-04-01 05:43:47,860.68,1,,,"b'b\' @rkuhn AFAIU the problem was that at some point a long time ago a faulty (if interpreted strictly) client produced illegal tree objects with ""zero-padded file modes"". At some point git started to enforce its specs more strictly which leaves us in the position where the Akka commit history contains some illegal objects deep down in the history chain. Since a while (it seems) the server checks for illegal objects if you want to push something into the repository. It currently doesn\\\'t seem to happen for cloning but if that should be changed as well at some point the consequences could be worse. Since a while there\\\'s which could help with things like that but AFAIU it would still require a rewrite of at least part of history so I\\\'m not so sure it would be feasible.\''",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17115,closed,7,2015-04-01 05:43:47,30.82,,1,,"b""b' Is it possible to figure out which commits exactly are affected? Are they ancestors of current master?'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17115,closed,8,2015-04-01 05:43:47,8.9,,1,,"b'b"" Yes", I just forgot how. You need to find commits that reference one of the above tree objects. And yes, they are ancestors," I checked it explicitly for one of the above and also otherwise they wouldn\'t be pushed.""'",,,,,,,,,,,,,,,,,,,,,,,
akka,17115,closed,9,2015-04-01 05:43:47,16.15,,1,,"b""b' Hmm", so the question is: how can we fix this withoutlosing the historybreaking all the things? We cannot push the current contents into an \\xe2\\x80\\x9cakka-backup\\xe2\\x80\\x9d repo, so we would need to rename the repo," but then we\\xe2\\x80\\x99d have to migrate all the tickets to the cleaned-up clone. I think we\\xe2\\x80\\x99ll need professional help here \\xe2\\x80\\xa6'""",,,,,,,,,,,,,,,,,,,,,,,
akka,17115,closed,reopened,2015-08-03 13:47:18,348.3,3,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17115,closed,closed,2016-04-04 18:57:24,310.1,3,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17115,closed,-,-,-,3,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17135,closed,opened,2015-04-03 03:05:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17135,closed,title,2015-04-03 03:05:01,00:00,,1,,"b""b' StringIndexOutOfBound Exception in TcpConnectionSpec when in none English env'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17135,closed,body,2015-04-03 03:05:01,00:00,,1,,"b'b\' this code will cause the StringIndexOutOfBound Exception when in none English envurl  like In when the result is returned as ""\\xe6\\x8b\\x92\\xe7\\xbb\\x9d\\xe8\\xbf\\x9e\\xe6\\x8e\\xa5""\\xef\\xbc\\x8cthen that it so delete the substring?\''",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17135,closed,1,2015-04-03 03:05:01,374.82,,1,,"b'b"" or  "," which won\'t NPE. Would you like to submit a PR for this?""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,17135,closed,2,2015-04-03 03:05:01,12.33,,1,,"b""b' okay.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17135,closed,closed,2015-04-03 13:35:41,630.67,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17135,closed,3,2015-04-03 03:05:01,1415.65,,1,,"b""b' a note: it was not really related to the language", but it was wrong usage of substring," not capping the to the length of the string'""",,,,,,,,,,,,,,,,,,,,,,,,
akka,17135,closed,4,2015-04-03 03:05:01,1.83,,1,,"b""b' this bug should be backported to 2.3 in my opinion"," I will do that'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,17135,closed,reopened,2015-04-08 09:09:39,1173.97,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17135,closed,closed,2015-04-08 10:53:14,103.58,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17135,closed,-,-,-,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,opened,2015-04-17 06:17:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,title,2015-04-17 06:17:16,00:00,,1,,"b""b' fix open-coded spinlock in DirectByteBufferPool'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,body,2015-04-17 06:17:16,00:00,,1,,"b'b"" ## from Akara on the mailing list: Scala 2.11.6", Akka 2.3.9, Spray 1.3.2. When testing a particular workload, we ran into CPU spikes. The avg CPU load is less than 5% but about 6-7 minutes into the run, we start to see CPU spiking to near 100% lasting for several seconds. This repeats itself every 6-7 minutes. We can\'t correlate this with a particular GC activity just yet. We tested against Java 7_45 but tried Java 8 without much change. Spray is configured on the default-dispatcher (Spray default). Trying to capture thread dumps at the time spikes happening reveal 9 threads spinning on the followings: 2 threads show this spinning: 1 thread is on I/O: All in all," during this time there is no app logic being executed on the default dispatcher at all (12 threads on the default-dispatcher).""'",,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,1,2015-04-17 06:17:16,1.78,,1,,"b""b' Discussion is [here]url  Solution: remove the spinlock", either make it lock-free or use a proper lock. is the best option in the latter case," just FTR.'""",,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,2,2015-04-17 06:17:16,15.25,,1,,"b""b' @rkuhn Can you also take the time to explain how synchronized is best option ?'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,3,2015-04-17 06:17:16,3.8,,,1,"b""b' Well", if you use a blocking lock then you\\xe2\\x80\\x99d better use the one that is the most heavily optimized, and especially since Java has gotten some love. There is simply no reason to try and be clever because you won\\xe2\\x80\\x99t beat the JVM at its own game. If you need different semantics, though," the case is obviously different.'""",,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,4,2015-04-17 06:17:16,3.87,,,1,"b""b' Thanks !"," I suspected this.'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,5,2015-04-17 06:17:16,105.42,,,1,"b'b"" Interesting. I ported the spinlock from \'s version of the buffer pool (which was introduced here: url  We have never seen such an effect in our benchmarks but as you say", @rkuhn," it probably depends on the actual scheduling behavior of the OS. Having a fat server with lots of cores probably will create the amount of contention which throws the system into this temporary gridlock we are seeing here. Another thing to try (in addition to using a real lock or something lock-free) would be adding a thread local cache for buffers to try first before going to the shared pool to reduce contention (this is also what the JVM internal direct buffer pool is doing). /cc @sirthias""'",,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,6,2015-04-17 06:17:16,16.62,,,1,"b'b\' This is interesting. @rkuhn\\\'s analysis from the mailing list:For my understanding: In what way does a ""real"" CAS loop differ from this ""open-coded primitive spinlock""? I\\\'m asking because I\\\'d like to avoid introducing the same problem in other places and apparently haven\\\'t yet understood the core of the issue. Why isn\\\'t a CAS loop prone to the same problem?\''",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,7,2015-04-17 06:17:16,5.92,,1,,"b""b' @sirthias The difference is in what causes the spinning: if a certain state will always spin", you have a spin-lock. A proper CAS loop will only retry if someone changed the value during its execution, not if it is the fundamentally \\xe2\\x80\\x9cwrong\\xe2\\x80\\x9d value. Lock-free means that your progress does not depend on someone else making progress," but you may still be hindered by others continually making progress. Wait-free means that you will make progress independently of all other activity in the system.'""",,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,8,2015-04-17 06:17:16,0.85,,1,,"b""b' I guess it depends on the actual amount of work done. The only thing you try to do during a CAS loop is actual switching the value (or noticing that you start condition was changed behind your back) which should just be a few CPU instructions.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,9,2015-04-17 06:17:16,13.18,,,1,"b""b' Ok", I see. Thanks!So this issue is a general problem of all spinlocks. The reason we went for the spinlock in the is that the amount of logic to be protected is very small and can likely be execute in a few cycles.Fully blocking another thread, which is likely to be able to proceed only a few ns later," seemed like a bad tradeoff.So the take-away is: never use spinlocks and go for a full instead?'""",,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,10,2015-04-17 06:17:16,1.13,,1,,"b""b' Btw. AFAIK the JVM locking code will also spin for a while (also maybe depending on the profile for this lock)  before suspending the thread"," so in the cases where it worked now it may still work with similar performance while in the cases of major contention threads will be properly suspended.'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,11,2015-04-17 06:17:16,3.55,,,1,"b'b"" @jrudolph Ok"," that sounds good. I didn\'t know that. Do remember a pointer to some background material on that type of JVM optimizations?""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,12,2015-04-17 06:17:16,2.4,1,,,"b""b' Incidentally", in the context of spray we once discovered a similarly badly performing spinlock inside the linux kernel: the port allocator for local TCP ports for client sockets also uses a spin lock to guard the unused ports table. Once the table is almost empty (too many open connections to one ," a common scenario in a localhost load test) different threads trying to open new client sockets will start to busy-wait for ports coming available: url '""",,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,13,2015-04-17 06:17:16,1.13,,,1,"b""b' for the thread local cache",I think this one is nice to seeurl for the spin lock,the skynet url  chagne the spin lock back to the synchronized in some  they say that ,"on very high load the spin lock cause much CPU usage .'""",,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,14,2015-04-17 06:17:16,3.97,,1,,"b""b' If the JVM really performs the kind of lock profiling that @jrudolph described then I really see no reason to ever use a spinlock in JVM code. '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,15,2015-04-17 06:17:16,1.58,1,,,"b'b\' @sirthias I tried to find something but it is hard to come up with information that is backed by authoritative sources from  devs.  Here\\\'s a summary from a blog (which probably simplifies things too much): url  Before Java 8 there was a flag ""-XX:-UseSpinning"" which according to some other site is automatically enabled starting from Java 8.  Here are some infos from HotSpotInternals (but they don\\\'t mention spinning): url  Then there\\\'s this presentation from Dave Dice about Java 6 locking with information about Adaptive Spinning: url ~\''",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,16,2015-04-17 06:17:16,11.28,,1,,"b""b' The basic take-away is that a spinlock without a slow path (i.e. a plan B that does not spin) is viable only in kernel code", and even that is thwarted when running on virtualized hardware. Proper locks tell the kernel what they are waiting for when they back off, making it possible to react to the other thread releasing the resource," and also possibly boosting the other thread\\xe2\\x80\\x99s priority (although care needs to be taken to avoid priority inversion).'""",,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,17,2015-04-17 06:17:16,12.75,,,1,"b'b"" Ok", thank you, @jrudolph and @rkuhn! Since this is not the only spinlock that I have introduced into Akka we should also convert the other ones.There is at least this one here:url  Also, there is one in my current code for the HTTP connection pool," which I\'ll change as well.""'",,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,18,2015-04-17 06:17:16,1.9,,1,,"b""b' Yes"," I was going to suggest an audit as well.'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,19,2015-04-17 06:17:16,17.1,,1,,"b""b' @mathias", here are additional information about JVM lock optimizations: url  (lock biasing, etc)url  (mentions adaptive spinning," lock coarsening)'""",,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,20,2015-04-17 06:17:16,1.15,,,1,"b""b' Ah"," @jrudolph was quicker :) '""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,21,2015-04-17 06:17:16,1.93,,,1,"b""b' Excellent. Thanks"," Endre!'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,closed,2015-04-22 10:55:25,278.15,2,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,22,2015-04-17 06:17:16,52.28,,1,,"b'b"" don\'t close until its on all branches""'",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,reopened,2015-04-22 10:56:07,0.7,2,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,closed,2015-04-22 19:37:44,521.62,2,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17216,closed,-,-,-,2,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,opened,2015-04-26 16:40:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,title,2015-04-26 16:40:14,00:00,,1,,"b""b' failed: RemoteRestartedQuarantinedSpec'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,body,2015-04-26 16:40:14,00:00,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,1,2015-04-26 16:40:14,920.3,,1,,"b""b' Same here: url url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,2,2015-04-26 16:40:14,1396.27,,1,,"b""b' here are two with java8: url url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,3,2015-04-26 16:40:14,1364.75,,1,,"b""b' The frequency of failure of this test is 7 failures in 90 runs.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,4,2015-04-26 16:40:14,159.5,,1,,"b""b' I guess this is related to #17271'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,5,2015-04-26 16:40:14,1375.85,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,6,2015-04-26 16:40:14,417.4,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,7,2015-04-26 16:40:14,2.0,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,8,2015-04-26 16:40:14,1147.45,,1,,"b""b' Same here: url  url  Seems to come up a lot...'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,9,2015-04-26 16:40:14,302.45,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,10,2015-04-26 16:40:14,1370.63,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,11,2015-04-26 16:40:14,64.82,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,12,2015-04-26 16:40:14,996.13,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,13,2015-04-26 16:40:14,700.92,,1,,"b""b' url url url url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,14,2015-04-26 16:40:14,798.08,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,15,2015-04-26 16:40:14,405.88,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,16,2015-04-26 16:40:14,1303.12,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,17,2015-04-26 16:40:14,1181.55,,1,,"b""b' Looks like this has not recurred in 5 months"," so closing'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,closed,2016-05-03 08:27:20,947.1,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,reopened,2017-06-13 07:26:27,1379.12,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,18,2015-04-26 16:40:14,1379.97,,,1,"b""b' Funny"," just because I closed this as obsolete yesterday it failed this night: url '""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,19,2015-04-26 16:40:14,92.03,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17314,closed,20,2015-04-26 16:40:14,1256.7,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
