REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,477,closed,6,2011-05-03 11:31:49,89.13,,1,,"b'b"" I\'m pretty sure @pornel already knows what it does ;)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,477,closed,7,2011-05-03 11:31:49,1246.97,,,1,"b'b\' This was a reply to Paul :) ""improved pngquant"" should not replace optipng because it\\\'s a different tool.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,477,closed,8,2011-05-03 11:31:49,1084.18,1,,,"b'b"" I find PNGout doing way more compression then optiPNG. I did some tests on 32 bit depth and they compressed down to the same file size", as compared to using PNGout. Damns," so much for automating the png\'s in HTML5 boilerplate. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,477,closed,9,2011-05-03 11:31:49,1268.85,,1,,"b""b' So no consensus on this one"," then?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,477,closed,10,2011-05-03 11:31:49,641.25,1,,,"b""b' Yes : wait for optipng  (Plans for version 0.7: Metadata editing -including the highly-anticipated metadata stripping capability :-))'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,477,closed,11,2011-05-03 11:31:49,277.28,,,1,"b'b\' Closing this because the plan seems to be ""update optipng when there\\\'s a new release"". If this needs to be reopened", please do it at the [ant build script repo]url  with a cross-repo link back to this issue. Thanks\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,477,closed,closed,2012-02-03 13:53:32,141.72,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,477,closed,12,2011-05-03 11:31:49,66.68,1,,,"b'b"" So I\'ve mentioned 2 years ago that automatic conversion to png8 might be risky. Well", it\'s fixed now: This will overwrite the only if conversion doesn\'t lose more than 10% of quality (quality is min-max format) and makes pngquant automatically choose number of colors aiming for only 1% quality loss. Still," file size can be reduced afterwards with lossless optimizers like optipng or pngout.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,477,closed,reopened,2013-02-21 15:01:04,67.53,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,477,closed,13,2011-05-03 11:31:49,44.35,,1,,"b'b"" [I\'m already on this]url  over at the ant build script repo. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,477,closed,14,2011-05-03 11:31:49,103.83,,,1,"b""b' Thanks guys. Closing as this is an issue for the build script. But good to know.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,477,closed,closed,2013-02-21 17:28:23,147.32,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,477,closed,-,-,-,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,492,closed,opened,2011-05-09 09:46:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,492,closed,title,2011-05-09 09:46:52,00:00,,1,,"b'b\' make build ""manifest"" aware\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,492,closed,body,2011-05-09 09:46:52,00:00,,1,,"b'b"" Hi","I don\'t know if the current build method can do that but it will be really helpful if the build method can detect the presence of a cache manifest and replace the js and css files declarations by their minified counterparts. Simplified case scenario:  Is there a manifest ? (search any  for manifest attribute) List the css and js files that will be combined and or minified. Do the manifest list a css or js file that will be minified ?  Remove the corresponding files declarations. Add the css and js minified files declarations.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,492,closed,1,2011-05-09 09:46:52,196.95,,1,,"b'b\' i managed to have the manifest modified by the build tool for the css and js files i added in  for the ""-usemin"" task : As you can see the javascript files to ""clean"" have to be listed one by one ( and ). Not really pretty but it does the job.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,492,closed,closed,2011-05-30 13:03:49,196.95,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,492,closed,reopened,2011-05-30 13:04:13,0.4,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,492,closed,2,2011-05-09 09:46:52,286.75,,,1,"b'b"" it\'s a nice idea but i feel there are a couple of things to consider:1. the  might have to be a variable", because people can name it anything," like \'\' etc2. shall we do a poll to see the number of people who use manifest?3. what\'s the reason people  to use it? (unexpected loading behavior etc)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,492,closed,3,2011-05-09 09:46:52,791.3,,,1,"b'b\' I think this is a ""good to have"" but not essential. I would welcome a pull req though.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,492,closed,4,2011-05-09 09:46:52,1033.77,,,1,"b""b' @gmoulin you interested in filing a pull req on this guy?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,492,closed,5,2011-05-09 09:46:52,903.38,,1,,"b""b' i will see what i can do ;)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,492,closed,6,2011-05-09 09:46:52,272.6,,1,,"b""b' #652 has the pull request for this one'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,492,closed,7,2011-05-09 09:46:52,613.37,,1,,"b""b' closing as we have #652 open now.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,492,closed,closed,2011-08-09 06:05:00,1020.78,0,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,492,closed,-,-,-,0,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,515,closed,opened,2011-05-19 20:49:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,515,closed,title,2011-05-19 20:49:01,00:00,,1,,"b""b' Issues with: supress www. and add trailing slash in .htaccess'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,515,closed,body,2011-05-19 20:49:01,00:00,,,1,"b'b\' When using I type """"I am expecting ""/""I am taken to ""/**/**"" I type """"I am expecting ""/""I am taken to ""/**subdomain/**"" I type """"I am expecting ""/""I am taken to ""/**/**"" **NOTE** the double // preceeding the requested directory I then removed and left I type """"I am expecting ""/""I am taken to ""/**/**"" I type """"I am expecting ""/""I am taken to ""/**/**"" **NOTE** the lack of www. even though this is no longer specified in .htaccess and only one /subdomain/ preceeding the requested directory Please note:all the directories used had valid  files contained within.I am on a shared host and do not have access to the Apache config files. Am I doing something wrong or is it down to my hosting company? On an aside to these issues... Currently the prevention of directory listings is achieved through: Would it not be more graceful to use: As seen in [this tutorial]url  preventing a 404 from being thrown? Thank you for your help.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,515,closed,1,2011-05-19 20:49:01,289.45,,1,,"b'b"" I have the same issue", and only when the boilerplate are in a directory.If i dont use the .htaccess, the problem its solve.That\'s not the point," but...I hope someone who master the .htaccess have a solution""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,515,closed,2,2011-05-19 20:49:01,50.8,,,1,b'b\' Is this a common problem then or are we two isolated cases?Has anyone else experienced this effect and if so are you on a local or a hosted server? I believe the fault to be caused by the wildcard characters," i.e. I have tested a rewrite of these two code snippets on my remote shared host: Interestingly I obtain the following results... I type """"I am expecting ""/""I am taken to ""/"" **SUCCESS** I type """"I am expecting ""/""I am taken to ""/**subdomain/**"" **FAIL** subdomain prefix disappears and is instead appended to the end of the domain as if it were a directory**NOTE** the index file to  would actually display as when a subdomain is created a directory (with the same name as the subdomain) is created within the root"," though I am not sure if this is specific to my server config?  I type """"I am expecting ""/""I am taken to ""/**/**"" **FAIL** the same problem occurs as previously mentioned in that the subdomain pops up in the wrong part of the URL**NOTE** as with the previous example an index page would show here for my server Hopefully this can prove useful to someone _in the know_ because I\\\'m completely lost with this one Thanks to anyone that can help find a solution and explain if these are isolated cases or part of a larger problem\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,515,closed,3,2011-05-19 20:49:01,40.97,,1,,"b'b"" This is peculiar. Can you guys let everyone know what versions of Apache you\'re running? ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,515,closed,4,2011-05-19 20:49:01,330.07,,1,,"b'b"" I had a feeling it didn\'t make any sense... I am running Apache Version 2.2.17 on a shared remote host so I have no control over config files other than my .htaccess file It may well be that there are conflicts with settings higher in the hierarchy because I was experimenting with trying to gzip my content before I discovered HTML5 boilerplate and all the .htaccess mods I tried didn\'t work so I contacted my hosting company and they set it for me and said not to put anything about it in the .htaccess files because it would cause conflicts. Do you think this issue may be due to conflicts with the settings of my hosting company? On an aside... none of the extra security stuff that is for php works in my .htaccess file"," it throws a 500 server error. Does that require contacting my hosting comapny too?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,515,closed,closed,2011-05-22 08:40:19,711.3,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,515,closed,reopened,2011-05-22 08:40:23,0.07,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,515,closed,5,2011-05-19 20:49:01,1.55,1,,,"b""b' My apologies for closing the issue I clicked the wrong comment button... :$'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,515,closed,6,2011-05-19 20:49:01,29.4,,1,,"b""b' Same issue here. Everything works again as expected when I removeOptions +FollowSymlinks Running  (CentOS) '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,515,closed,7,2011-05-19 20:49:01,586.72,1,,,"b""b' Unfortunately when I removed my issues were not resolved. Are these errors due to the contents of the .htaccess file or are they due to other server config conflictions?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,515,closed,8,2011-05-19 20:49:01,515.35,,1,,"b""b' **Update:** Not sure I understood the issue correctly. The title really ought to be reworded", as this issue isn\\xe2\\x80\\x99t a feature suggestion but rather an honest issue (problem)," right?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,515,closed,9,2011-05-19 20:49:01,55.18,,,1,"b""b' Thanks for the update"," you have understood correctly that this is an issue with the current .htaccess file and not a features suggestion. I have updated the title to be a little more clear.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,515,closed,10,2011-05-19 20:49:01,685.92,,1,,"b'b"" This may belong as a separate issue", but it seems that this rule breaks UTF-8 encoded URIs. **Edit:** I mean this rule: A URI like this: Get\'s converted to this via this rule: Note the extra percent sign (%25) in there. Haven\'t figured out how it\'s getting in there yet," but it\'s definitely this rule.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,515,closed,11,2011-05-19 20:49:01,1396.73,,1,,"b'b"" guys", we have voted to remove trailing slash redirects in htacess by default, it\'s moved to wiki under \'make it better\' section. for people who want to use it," please read: url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,515,closed,closed,2011-06-23 15:11:09,390.77,2,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,515,closed,-,-,-,2,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,opened,2011-05-22 11:19:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,title,2011-05-22 11:19:19,00:00,,1,,"b""b' build script: -based implementation? (crazypants inside)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,body,2011-05-22 11:19:19,00:00,,,1,b'b\' I have my crazypants on today but I wanted to share this somewhat funny idea. This is definitely as a novelty idea more than anything else, but I\\\'m pretty sure you could implement the entire build process in the browser thus making it accessible to anyone with Firefox or Chrome. My thought process was coming at this from the angle of the large portion of people without control over their server environment, or perhaps the expertise. As someone said in another thread, the project doesn\\\'t necessarily need to cater to all comes in all respects, but it\\\'s nice when it\\\'s possible.### The easy stuff: javascript: uglifyjs url Removes development only js: Should be trivial to do with uglifyjs since you\\\'re already parsing the js css: url  probably othersPotentially use javascript implementation of SASS: url Minify html and update references: url  with some modifications for any html changes needed, it\\\'s already parsing the html.htaccess  is trivial### More complicated:Optimize pngs. This can definitely be done in the browser but full solutions don\\\'t exist. Read image data in using canvas. Convert to base64 PNG datauri: url  or url  Mix in optimizations from various PNG crunchers (try to palletize," LZMA url  Paeth filter etc.). Optimize jpegs. Starting point: Javascript jpeg encoder url  Would need to identify routes to implement optimization (aside from stripping metadata which is an easy win).Embed images as datauris: trivial at this point since we have the the  CSS and we have all images as datauris.### Tying it offCreate a zip file using url  which provides an easy to use interface for generating a zip with files and folders **(""css"").add("""""," ourMinifiedCss)**. We can generate the folder structure and filename changes as desired inside the zip file. Our modified code files are simply passed as text and images via base64 encoded datauris which the zip lib converts into the approriate files.The final output is a zip file which then has to either be downloaded from the browser (**=""data:;base64","+()**) and manually deployed to the server, or can be uploaded via AsyncRequest to some simple script on the server that clears the existing files and extracts the new zip (need some sort of authentication in this case since we\\\'re exposing the ability to modify the server). The big weak spot is image optimization. Two other options for those parts are 1.) utilizing libraries or functionality that Flash might provide, or 2.) using the various image optimization web services that expose APIs url  url  The latter is definitely viable and not difficult to implement, but doesn\\\'t provide optimization as good and may have sign up requirements.### Node crossover Obviously a node version of this would be easier to make. If the new build script was built in node, this shows we could most likely build a browser version that implemented most or all of the node version functionality while benefiting from reusable parts like manifests and any libraries that can run in the browser, while back-filling the rest with ""best available"" solutions.\''
html5-boilerplate	523	closed	1	paulirish	2011-05-22 11:19:19	422.22			+1	b'b"" Hey Ben. :) So this idea is totalllllly crazypants, I agree. It\'s also totally fascinating and I appreciate you linking up all the tools to make it happen. Conceivably, if this were to be built, I would expect it to run about 10-40x slower than the current build script, which would make it somewhat impractical for most folks.. but of course if it\'s written in a  hybrid JS then you could have your choice and I bet things might be a bit faster running straight on node. Who knows Regardless, it\'s kind of fascinating and I really appreciate you bringing up the idea. You should start hacking on it!""'
html5-boilerplate	523	closed	2	altryne	2011-05-22 11:19:19	25.6	+1			b""b' I also recommend this :  url for embedding data-uri, it works pretty damn fast.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,3,2011-05-22 11:19:19,52.1,,,1,"b'b"" I had a similar vision of using these tools and have been researching them quite a lot but I envisioned using the node cli instead. You could tie them all together with either Make or a lightweight Node cli. That would be a less novel and more feasible solution"," although seeing how it works in the browser seems like an interesting experiment. This certainly wouldn\'t be slow (for the Node route at least). UglifyJS is a fair bit faster than most of the Java minifiers. I haven\'t benchmarked clean-css yet but it seems pretty fast after trying it a little.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,4,2011-05-22 11:19:19,10.22,,1,,"b'b"" Yeah I\'m pretty sure I\'m going to make a go at it. I figure do each part in node to get the kinks out and then iron out what mreains in the browser. The extra effort to do both is minimal above doing either alone other. Since we can  the latest  for the target audience the environment will be very close aside from node being able to rely on CLI access to outside languages. The only tricky part ends up being the image browser stuff", but by that point we would have produced a nearly complete build process in both node and the browser and be preparing for a party. In terms of building it out," this is a very easy task to divvy up and pretty much stand on their own. We just need to bridge the gaps for each step and then bring it all together.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,closed,2011-05-23 19:49:27,510.13,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,reopened,2011-05-23 19:49:31,0.07,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,5,2011-05-22 11:19:19,1224.42,,,1,"b'b"" apparently", the world needs more crazypants," then since I\'m +1 on this idea ll day.  A build system based on JS for a JS-heavy project sounds like a really good idea to me. Using JavaScript would directly target the typical consumer of h5bp. I\'ve got no interest in learning Java or Ruby just for a build system. I\'d certainly appreciate the ability to go all javascript crazy. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,6,2011-05-22 11:19:19,142.08,,1,,b'b\' A build system should be essentially a DSL, if you need to learn java or ruby then it is not a good solution. I agree on the learning of java in particular," I would rather be sewn into fresh catskins and hurled into a pack of dingoes.  ""Going all javascript crazy"" is exactly why the build system for a javascript based project _should not be in javascript_. Build systems should plod. They should not leap up an snatch magic out of the air. They should plod", one foot in front of the other, not only not aspiring to see the stars, but in fact, unable to even look up to see the sky. Strings go in, actions come out. Ruby, loathe it as I do, is far better able to deal with strings then javascript at this point.  If you could speak to your build system," and ask how it\\\'s day went the answer ""One hundred times I was asked"," and one hundred times I answered."" is all you want.\''",,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,7,2011-05-22 11:19:19,12.47,,,1,"b'b"" I think we\'re talking about two difference audiences here though. The peoplethat that are using build systems will use basically any system that isn\'tridiculous. A core audience of html5bp is the people who can have a livelydiscussion about build tools. Then another large audience for it is the onewe never talking to her. The one who probably won\'t use any build system", onthe server or on their computer," unless it would to be handed to them on aChrome or Fox platter. Accessibility is a powerful thing and html5bp has provided that for a largeslice of what goes into starting a well-built website. It\'s also an awesometool for those of us who do this stuff day and day out professionally. Itserves both worlds well and it provides tools that cover the gamut.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,8,2011-05-22 11:19:19,3.55,,,1,"b'b"" I like this idea in general and would happy to see folks like Ben", Craig and Rob explore what could be done. Maybe Ben could kick off a new repo? At the same time we\'ve got our other build script... probably in Ruby but not for a while..  @mhz, To the end user," the goal is they either run an app or type into their CLI and get a super optimized site. We don\'t want people to have to learn a language to use a tool. :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,9,2011-05-22 11:19:19,19.53,,,1,b'b\' @mhz My first choice for something like this would always be Make but taking this to the browser opens up some interesting options and potentially could lead to a more noob friendly solution (if done right). You can pick whichever build system you want and _someone_ will have a problem with it: Ant: Editing XML is like poking hot needles in your eyesMake: Not Windows-friendly: Require dependencies that are not acceptable for some people," not domain specific enough?Browser idea: Too crazypantsetc.... Why not just let people try them all and keep the boilerplate out of it for now? Let people start hacking and pick the ""winner"" afterwards. It\\\'s gonna be broken for a while anyway and there\\\'s nothing to stop the best (or only) implementation being merged later. \''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,10,2011-05-22 11:19:19,11.23,,1,,"b""b' Side note on that: npm is currently completely nonfunctional (and actuallysomewhat destructive in Windows", even with it max cygwined and everythingpossible, so you can put any automated node stuff on windows in the does notcompute category. npm has been pretty iffy for a while but it wouldeventually get you want you needed. Now not so much. On Tue, May 24, 2011 at 3:11 PM," craigbarnes <reply@>wrote:'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,11,2011-05-22 11:19:19,4.0,,1,,"b'b"" And yeah I\'m going to set up a repo and the groundwork for this in a day ortwo if no one else is gungho on it. Gotta catch up some other stuff first soif anyone else is already doing anything go for it. Otherwise I\'ll get toit. On Tue", May 24, 2011 at 3:11 PM," craigbarnes <reply@>wrote:""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,12,2011-05-22 11:19:19,463.75,,,1,b'b\' @craigbarnes Sir, you have completely encompassed my thinking on the subject with your reply," every single point. I have nothing to add except to say ""this man represents my viewpoint on this issue"," particularly his statement about editing XML.""  Thanks.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,13,2011-05-22 11:19:19,1038.25,,,1,"b'b\' re: Removes development only js: Should be trivial to do with uglifyjs since you\\\'re already parsing the js I recently submitted some changes to uglifyjs to achieve just this sort of thing (as close as I could safely get to #ifdef and ""if (0) {...}"" when compiling C++)", whereby you can tell it to predefine certain symbols with constant value, and then the constant folding logic is improved to completely remove code where appropriate constructs with constant values can be spotted. url  My pull request for documenting this feature hasn\\\'t yet merged yet url  but you can read the details of how I typically use this to safely remove development code from production deployments here url \'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,14,2011-05-22 11:19:19,98.2,,1,,"b'b"" Just thought I\'d pass this along....  url 1.0""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,15,2011-05-22 11:19:19,1215.73,,1,,b'b\' Haven\\\'t tried it yet," but fwiw there\\\'s url  ""An ant-type build system for node  tasks and the ability to add tasks at any time""\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,16,2011-05-22 11:19:19,343.1,,,1,"b'b"" Gonna close this issue but wanted to give an update on this world. these are active projects around this area: url url  (shifting to grunt)url  and a few others..  IMO this thing makes sense outside of the browser where it can be automated. if a browser UI preferred"," that\'s cool but there needs to be a CLI. i know  are working on a GUI that runs a node build system on the back. should be cool to  see come alive. anyway. closing for now but thanks for exploring the idea :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,closed,2012-01-30 00:05:46,256.25,1,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,523,closed,-,-,-,1,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,542,closed,opened,2011-06-01 18:59:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,542,closed,title,2011-06-01 18:59:44,00:00,,1,,"b""b' Use  or jQuery for the analytics snippet'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,542,closed,body,2011-06-01 18:59:44,00:00,1,,,"b'b"" # Make script loading asynchronous or deferredCurrently", all scripts defined in the boilerplate HTML will be loaded synchronously. We should investigate the possibility to make most of them either asynchronous, or deferred. Line numbers are based on this revision:url  Line 30 (modernizr-1.7):Required to enable HTML5-elements in certain browsers. Keep it as it is. Line 31 ():This will only process stylesheets defined in the head, although it\'s a bad-practice, it\'s possible to define (or rather,"'
html5-boilerplate	542	closed	1	retlehs	2011-06-01 18:59:44	17.97		+1		b""b' i like this. also take a look at #28'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,542,closed,2,2011-06-01 18:59:44,807.32,,1,,"b""b' +1 to most of this. However", as @necolas points out (see his comments below)," deferring would result in a FOUC. and could be combined into a single minified file. This would be even better than serving  to IE-only \\xe2\\x80\\x94 it\\xe2\\x80\\x99s so small the extra HTTP request for IE is more of a performance issue than the increased total file size of the combined files.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,542,closed,3,2011-06-01 18:59:44,45.85,,,1,"b'b\' This sounds great. I think there _might_ be some issues with deferring  A ""FOUC"" in browsers without Media Query support. I\\\'m not that keen on using conditional comments around the script because if people don\\\'t want to use the conditional classnames they may block downloads by leaving the conditional comments around . We could use a MQ feature test from Modernizr 2 instead.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,542,closed,4,2011-06-01 18:59:44,138.68,,1,,"b'b"" Agreed"," deferring  makes for an ugly load in ie6-8. I\'d love to make a version of respond that uses Modernizr\'s matchmedia function to see if it needs to run. That\'d eliminate some redundancy between the two scripts. Happy to help!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,542,closed,5,2011-06-01 18:59:44,13.45,,,1,"b'b"" Alright", thank you. All changes need to be properly tested prior to being rolled out either way. Adjusting the contents of scripts, such as combining  and , is not something I\'m strongly in favor of. In their current form they\'re completely independent scripts, serving different purposes (with the exception of Modernizr 2 MQ-detection). Creating a modified version of RespondJS to work with Modernizr does sound like a great idea though, or, to make it even bolder," it could be an optional component available through Modernizr\'s builder. Both scripts are MIT-licensed.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,542,closed,closed,2011-06-02 12:03:00,1023.27,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,542,closed,reopened,2011-06-02 12:03:03,0.05,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,542,closed,6,2011-06-01 18:59:44,851.83,,1,,"b""b' @beverloo can haz pull req?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,542,closed,closed,2011-07-31 03:05:40,902.62,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,542,closed,7,2011-06-01 18:59:44,51.07,,1,,"b""b' done and done. thxx'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,542,closed,8,2011-06-01 18:59:44,1042.3,,1,,"b""b' what about changing the google analytics code to use ()? there is a [snippet in the docs]url  that shows this done. is that not boilerplate-y?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,542,closed,9,2011-06-01 18:59:44,6.1,,1,,"b""b' @slexaxton whatcha think?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,542,closed,10,2011-06-01 18:59:44,5.68,,1,,"b""b' Yep. The technique I use on url  does this with google analytics just dandily.  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,542,closed,11,2011-06-01 18:59:44,22.78,,1,,"b""b' mixed content issues on https?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,542,closed,12,2011-06-01 18:59:44,0.83,,,1,"b""b' Oh sure! BOOM.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,542,closed,13,2011-06-01 18:59:44,0.97,1,,,"b'b"" oh sad"," google has different subdomains for their analytics. sry. yea. we\'d need to sniff the  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,542,closed,14,2011-06-01 18:59:44,3.57,,,1,"b""b' Note that we track page loading times as well", so the snippet would become: That said, switching to this snippet would make H5BP slightly less \\xe2\\x80\\x9cdelete-key friendly\\xe2\\x80\\x9d, since users that don\\xe2\\x80\\x99t need  for a specific project will have to switch to the regular GA snippet manually then. I\\xe2\\x80\\x99m not against this change," but it\\xe2\\x80\\x99s something to consider.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,542,closed,reopened,2011-08-03 21:27:10,1101.5,2,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
