REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,opened,2011-05-10 13:37:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,title,2011-05-10 13:37:13,00:00,,1,,"b""b' Ticket 105 Problem with saving habtm between different db-schemas '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,body,2011-05-10 13:37:13,00:00,,1,,b'b\' Hi," Please consider merging this branch.  It fixes the problem logged in [lighthouse ticket #105]url  The second commit is required to avoid the ""Unknown table \\\'foo\\\' in MULTI DELETE"" error as discussed in [this blog post]url \''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,1,2011-05-10 13:37:13,3.13,,1,,"b'b"" Forgot to mention that \'with\' key is required in the relationship declaration.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,2,2011-05-10 13:37:13,114.37,,1,,"b""b' Tests? Also I would not assume that both tables can be accessed using the same connection. So you should call the insert on the datasource fro the other model.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,3,2011-05-10 13:37:13,643.43,,1,,"b'b"" Since the HABTM has defined \'with\' key", it would use the value from the join model. eg: For tests," i\'ll try to update existing and write new ones up. This broke a lot of tests since it compares: against  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,4,2011-05-10 13:37:13,143.8,,1,,"b'b"" Let me try to rework this.  I\'m closing this pull request for now.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,closed,2011-05-11 04:41:57,904.73,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,reopened,2011-05-12 06:41:41,119.73,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,5,2011-05-10 13:37:13,129.97,,1,,"b'b"" @lorenzo", Can you comment on the additional commit @4f12dde53d5a2c8095c42984188081d663a2231d ? The deletions and insertions are now using the otherdb datasource. @211976fb3f29323a90fa8d698cd78076bcc3a700 introduces another parameter to fullTableName which may have bigger effect on the framework. I have adjusted test cases. At this point, all existing model and behavior tests passes. If you think this approach is sound, I\'ll add more tests for this use-case," rework the patch properly and remove the clumsy \'if\' conditions wherever possible.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2232,closed,body,2013-10-29 19:45:24,00:00,,1,,"b""b' In the [2.4 Migration Guide]url  it says that the constant is deprecated. Yet it appears [here]url  on line 370","  and [here]url  on lines 214 & 215'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2232,closed,1,2013-10-29 19:45:24,25.45,,1,,"b'b"" Deprecated doesn\'t mean it was removed and will not be used anymore in the current version(s).url  Also the JSHelper itself is deprecated.I assume that\'s the reason why those constants were left in there...""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2232,closed,2,2013-10-29 19:45:24,1.45,,,1,"b'b"" @ravage84 You are right. But it still wouldn\'t hurt to replace them at some point :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2232,closed,3,2013-10-29 19:45:24,84.87,,1,,"b""b' The docs say is deprecated. This is a different constant than  .'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2232,closed,closed,2013-10-29 21:37:10,111.77,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2232,closed,4,2013-10-29 19:45:24,3.93,,1,,"b""b' The next line mentions IMAGES", JS," and CSS'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2232,closed,5,2013-10-29 19:45:24,0.82,1,,,"b""b' My bad.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2232,closed,reopened,2013-10-29 21:41:55,4.75,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2232,closed,closed,2013-10-29 21:49:53,7.97,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2232,closed,-,-,-,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2233,closed,opened,2013-10-29 22:14:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2233,closed,title,2013-10-29 22:14:19,00:00,,1,,"b""b' Inconsistent URL encoding in HtmlHelper'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2233,closed,body,2013-10-29 22:14:19,00:00,,1,,"b'b"" I\'m wondering whether this is the intended behavior (I tend to think it\'s not)", the various methods do encode URLs differently. Here\'s what I\'m talking about, this: gives me the following results: As you can see the URLs quite differ, some are entity encoded, some percent encoded," and some are not encoded at all. I\'m testing this against 2.4.2""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2233,closed,1,2013-10-29 22:14:19,89.62,,,1,"b""b' The unencoded values are clearly wrong"," but the other inconsistencies probably stem from one set of URLs being related to files and the others being handled by Router. Adding the missing HTML encoding seems like a good idea here.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2233,closed,closed,2013-11-03 16:49:53,1115.57,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2233,closed,reopened,2013-11-03 16:58:02,8.15,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2233,closed,2,2013-10-29 22:14:19,617.82,1,,,"b'b"" I\'m actually having trouble with the image escaping: Adding escape =I don\'t get why you would want to escapt the src part of an img tag. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2233,closed,3,2013-10-29 22:14:19,150.73,,1,,"b""b' Not escaping the URL src attribute would create invalid html. Strict doctypes require all & to be escaped.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2233,closed,4,2013-10-29 22:14:19,139.85,,1,,"b'b"" ok", well I\'m not read up enough on the doctyp definitions and rules. But firefox doesn\'t compensate for this when using the url and the queryparams array in cakephp doesn\'t understand an escaped & in the url. Even if this is the case," the following. Renders this: So as pointed out we aren\'t being consequent here. (All tests with )""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2233,closed,5,2013-10-29 22:14:19,116.23,,1,,"b""b' Yes that is the root issue here"," that the URL encoding is incorrect and inconsistent. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2233,closed,6,2013-10-29 22:14:19,11.65,,1,,"b""b' @LiquidityC Oddly enough that function call generates the correct HTML for me on  .  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2233,closed,7,2013-10-29 22:14:19,50.22,1,,,b'b\' Ive been struggling with this in a production environment so I can\\\'t reallytest it on master. Give me a few days and ill give a solution a whirl.On 9 Nov 2013 18:00,"Mark Story"" notifications@ wrote:\''
cakephp	2233	closed	8	markstory	2013-10-29 22:14:19	102.28		+1		b'b"" Ok, I\'ve pushed a commit to fix the favicon generation, outside of that the other URL\'s are correctly encoded and won\'t cause HTML validation issues or incorrect behaviour in browsers.""'
cakephp	2233	closed	9	LiquidityC	2013-10-29 22:14:19	18.7		+1		b'b\' Beat me too it :)On 9 Nov 2013 20:33, ""Mark Story"" notifications@ wrote:\''
cakephp	2233	closed	10	markstory	2013-10-29 22:14:19	367.62		+1		b""b' Closing as I think the primary outstanding issue here has been fixed, and there has not been any follow up.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2233,closed,closed,2013-11-16 01:59:02,541.0,2,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2233,closed,11,2013-10-29 22:14:19,346.82,,1,,"b""b' I has problem with .I want make URL without escapes query string \\xe2\\x80\\x98&\\xe2\\x80\\x99 ( url  )", same with but result always be escaped.My code: My cakephp version I check and see: With this source, result always be escaped," and that is incorrect with document @@'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2233,closed,12,2013-10-29 22:14:19,461.32,,1,,"b""b' @oanhnn What documentation exactly is incorrect?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2233,closed,-,-,-,2,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2237,closed,opened,2013-10-30 02:38:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2237,closed,title,2013-10-30 02:38:51,00:00,,1,,"b'b"" 3.0 Replace time() with DateTime\'s getTimestamp()""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2237,closed,body,2013-10-30 02:38:51,00:00,,,1,"b'b"" While this doesn\'t address the overall architectural issues url  in the Time utility", it\'s a small step in the right direction for the time being (pun intended," :smile: ).""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2237,closed,1,2013-10-30 02:38:51,34.77,,1,,"b""b' Looks like this caused some tests failed.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2237,closed,2,2013-10-30 02:38:51,8.13,,,1,"b'b"" @markstory Sure did"," I accidentally changed the operator in isPast()\'s return.  :laughing:  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2237,closed,closed,2013-11-03 16:49:53,851.03,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2237,closed,reopened,2013-11-03 16:56:51,6.97,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2237,closed,3,2013-10-30 02:38:51,30.08,,1,,"b""b' Fixed test case failure.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2237,closed,closed,2013-11-09 14:01:35,1264.73,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2237,closed,-,-,-,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2242,closed,opened,2013-10-30 13:47:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2242,closed,title,2013-10-30 13:47:57,00:00,,1,,"b""b' Use fullTableName in Model->setSource()'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2242,closed,body,2013-10-30 13:47:57,00:00,,1,,"b""b' CakePHP v2Please change Model->setSource() method to use$db->fullTableName($this) instead  of $this->tablePrefix . $tableName'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2242,closed,1,2013-10-30 13:47:57,3.15,,1,,"b""b' Why? What problem does this solve?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2242,closed,2,2013-10-30 13:47:57,5.6,,1,,"b""b' I implementing dynamic rules for full table name and tried to solve this by overriding DboSource->fullTableName methodBut this didn work"," because almost the same code is copied to DboSource->fullTableName() and Model->setSource():$Model->tablePrefix . $tableName'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2242,closed,3,2013-10-30 13:47:57,10.5,1,,,"b""b' The same for DataSource->describe() method ("," line 124):      if (is_string($model)) {        $table = $model;      } else {        $table = $model->tablePrefix . $model->table;      }can be replaced with calling fullTableName (Maybe then move fullTableName from DboSource to DataSource for this?)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2242,closed,4,2013-10-30 13:47:57,2.48,,1,,"b""b' why not submit the code changes (create a pull request) instead of asking someone else to do it =)? At the very least that answers the immediate question: would doing so break any tests?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2242,closed,5,2013-10-30 13:47:57,8.83,1,,,"b""b'  :+1: Didnt migrated my brain from svn to git yet ;) The same for unit tests"," sorry..But I will give credit with pull request for another tickets in future :)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2242,closed,closed,2013-11-03 16:49:53,181.93,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2242,closed,reopened,2013-11-03 16:53:08,3.25,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2242,closed,6,2013-10-30 13:47:57,493.05,,,1,"b""b' Closing all enhancement requests that were not actioned in a long time. If you still think this a good idea and would like to help making this happen"," please leave a comment.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2242,closed,closed,2016-05-20 22:31:34,338.43,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2242,closed,7,2013-10-30 13:47:57,753.35,,,1,"b""b' This replacement is needed to allow customize table access by adding some unusual rules for some tables$db->fullTableName($this) is the same as $this->tablePrefix . $tableName so it will be good to use this method instead copypasting $table = $model->tablePrefix . $model->table'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2242,closed,8,2013-10-30 13:47:57,909.65,,1,,"b""b' Any chance you could send a pull request @andruhapx ?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2242,closed,-,-,-,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2245,closed,opened,2013-10-30 18:11:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2245,closed,title,2013-10-30 18:11:07,00:00,,1,,"b""b' When using cake schema CLI"," creating multiple column indexes in PostgreSQL produces an error.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2245,closed,body,2013-10-30 18:11:07,00:00,,1,,"b'b"" When creating a schema using the cake console", tables with multi-column primary keys will fail with an error. This is because in the buildIndex function of the PostgreSQL Datasource doesn\'t account for an array of columns.#### Reproduction steps: Create a  file with the following table described in it: Run the console on a PostgreSQL database. See that the when the console creates the table," it will product an error. I will submit my patch shortly.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2245,closed,1,2013-10-30 18:11:07,16.3,1,,,"b""b' Multi column primary keys are very poorly supported throughout CakePHP. This is merely the tip of the iceberg of pain.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2245,closed,2,2013-10-30 18:11:07,6.13,1,,,"b""b' I am finding this out as I build support for upgrading into my app.And worse yet"," cross-compatibility between MySQL and PostreSQL is horrible!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2245,closed,3,2013-10-30 18:11:07,15.78,,1,,"b""b' Yeah Postrges and MySQL have very different interpretations of SQL.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2245,closed,closed,2013-11-03 16:49:53,1358.77,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2245,closed,reopened,2013-11-03 16:56:41,6.8,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2245,closed,4,2013-10-30 18:11:07,1153.88,,1,,"b""b' Closing as the schema shell has been removed in 3.0 and will be replaced with a more robust migration tool"," most likely based on phinx.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2245,closed,closed,2014-06-29 14:03:13,1266.53,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2245,closed,-,-,-,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2246,closed,opened,2013-10-30 18:17:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2246,closed,title,2013-10-30 18:17:03,00:00,,1,,"b""b' Fix for Issue #2245 | Support multiple column indexes.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2246,closed,body,2013-10-30 18:17:03,00:00,,1,,"b""b' See issue #2245'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2246,closed,1,2013-10-30 18:17:03,5.85,,1,,"b""b' Are you able to provide a test"," as well?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2246,closed,closed,2013-11-03 16:49:53,1352.83,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2246,closed,reopened,2013-11-03 16:56:44,6.85,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2246,closed,2,2013-10-30 18:17:03,728.05,,1,,"b""b' @ZachGambino-GG Can you write a test for this?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2246,closed,3,2013-10-30 18:17:03,1140.22,,1,,"b""b' Closing as there are no tests and it has been over 3 months.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2246,closed,closed,2014-01-22 01:31:10,514.43,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2246,closed,-,-,-,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2251,closed,opened,2013-10-31 01:34:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2251,closed,title,2013-10-31 01:34:24,00:00,,1,,"b'b"" 3.0 Use DateTime in Time utility \'is\' and \'was\' comparisons""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2251,closed,1,2013-10-31 01:34:24,535.48,,1,,"b""b' All this code looks very similar. May be you can put the main code into a protected method and parameterize it? Something like:  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2251,closed,2,2013-10-31 01:34:24,275.28,,1,,"b'b"" I like @ravage84\'s suggestion.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2251,closed,3,2013-10-31 01:34:24,19.8,,1,,"b'b"" @markstory @ravage84  Or", alternatively, do we want to scrap all these methods and have a single public method with an options parameter? Incomplete," but illustrates the idea: Edit:  Maybe name the method \'compareTo\'?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2251,closed,4,2013-10-31 01:34:24,12.02,,,1,"b""b' I think the named methods are nice as they make the calling code more expressive and easier to read. If those methods all use a single method internally that is fine. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2251,closed,5,2013-10-31 01:34:24,1.73,,,1,"b""b' @markstory Sounds good"," will update later this evening.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2251,closed,closed,2013-11-03 16:49:53,915.48,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2251,closed,reopened,2013-11-03 16:56:47,6.9,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2251,closed,6,2013-10-31 01:34:24,815.65,,1,,"b""b' Any comments on this?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2251,closed,7,2013-10-31 01:34:24,248.33,,,1,"b'b"" Refactoring looks good"," although I\'m concerned that we are making more difficult to spot and fix this ticket which is related to the functions you are changing url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2251,closed,8,2013-10-31 01:34:24,492.83,,,1,"b""b' The new refactorings look good.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2251,closed,9,2013-10-31 01:34:24,435.08,,1,,"b'b\' Moved the ""timezone"" parameter to be the last parameter.  Renamed the method to be semantically correct.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2251,closed,10,2013-10-31 01:34:24,51.03,,,1,"b""b' Looks great.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2251,closed,11,2013-10-31 01:34:24,597.1,,,1,"b'b"" Still not fully happy with the name but that shouldn\'t be a total show stopper :+1: ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2251,closed,12,2013-10-31 01:34:24,360.68,,,1,"b""b' Yeah I feel (because it returns a boolean) it should be  . The rest of the changes look good! :+1: '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2251,closed,13,2013-10-31 01:34:24,5.62,,1,,"b""b' @Phally :+1: I like that better too.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2251,closed,14,2013-10-31 01:34:24,125.43,,,1,"b""b' Excellent!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2251,closed,closed,2013-11-08 11:53:03,1136.27,0,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2251,closed,-,-,-,0,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2253,closed,opened,2013-10-31 03:49:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2253,closed,title,2013-10-31 03:49:52,00:00,,1,,"b""b' Make default fractionSymbol to false'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2253,closed,body,2013-10-31 03:49:52,00:00,,1,,"b'b"" The default value of \'\' will change:0.2 = 20But it should be $0.20 if nothing is specified as fractionSymbol.  Of course"," adding this in every use will solve this issue:\'fractionSymbol\' =But this option is rarely mentioned in the docs. And the default \'\' doesn\'t seem to have any particular use.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2253,closed,1,2013-10-31 03:49:52,69.0,,1,,"b""b' Can you please a test case to avoid regression in future.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2253,closed,2,2013-10-31 03:49:52,828.17,1,,,"b'b"" Did you mean a unit test for this change? Sorry"," didn\'t understand what you mean.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2253,closed,3,2013-10-31 03:49:52,1.98,,1,,"b""b' Yes I mean unit test.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2253,closed,closed,2013-11-03 16:49:53,780.02,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2253,closed,reopened,2013-11-03 16:53:15,3.37,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2253,closed,4,2013-10-31 03:49:52,912.87,1,,,"b""b' Sorry for the late update. Please check if these are ok.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2253,closed,5,2013-10-31 03:49:52,1.93,,1,,"b'b"" I don\'t think the getter is actually necessary. Also"," when writing a unit test we assumed you would test on that actual problem (0.2 =""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2253,closed,6,2013-10-31 03:49:52,3.95,,1,,"b'b"" Yeah"," that getter method shouldn\'t be there. Instead you should test for example or which method you had a problem with. That way you check whether you actually made a difference and that the method you were targeting actually behaves correctly.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2253,closed,7,2013-10-31 03:49:52,1.02,,1,,"b""b' I think you two are correct. Will remove the getter and modify the test.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2253,closed,8,2013-10-31 03:49:52,22.05,,1,,"b'b"" Also check your whitespace settings"," it seems like your editor doesn\'t remove trailing whitespace causing our code convention checks (PHPCS) to fail: url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2253,closed,9,2013-10-31 03:49:52,22.15,,1,,"b""b' Ok"," please check if it is ok this time. I used the browser to edit those files as there was a problem in pushing from terminal.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2253,closed,10,2013-10-31 03:49:52,28.0,,1,,"b""b' Can one of you please make the correct change and submit? Then I can delete this request as well. That may be more efficient. :-)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2253,closed,closed,2013-11-09 14:36:57,1303.7,2,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2253,closed,11,2013-10-31 03:49:52,197.65,,,1,"b""b' Thanks for the help in getting this fixed @georgetony :+1:'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2253,closed,-,-,-,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2256,closed,opened,2013-10-31 15:10:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2256,closed,title,2013-10-31 15:10:19,00:00,,1,,"b""b' 3.0 Update the AclBehavior to the new ORM'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2256,closed,body,2013-10-31 15:10:19,00:00,,1,,"b""b' Update the existing AclBehavior to be compatible with the new ORM. The following things will probably need to be done.Update the AclBehavior code.Migrate the AclNode", Aro, Aco, Permission classes to be subclasses of ORM\\\\Table.Create any entity classes if necessary Update the test cases for AclBehavior," and AclNode.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2256,closed,closed,2013-11-03 16:49:53,99.57,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2256,closed,reopened,2013-11-03 16:56:34,6.68,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2256,closed,1,2013-10-31 15:10:19,816.55,1,,,"b'b"" It might make sense to just close this ticket if we plan on keeping DbAcl dead. I\'m personally all for removing the current Acl code. It is bad in a few different ways:It confuses the heck out of new developers.It is pretty limited in what it can do. For example it is totally unsuitable for row based ACL or anything finer than controller action based ACLs.There are better generic replacement libraries that do everything our Acl implementation did and much more.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2256,closed,2,2013-10-31 15:10:19,7.87,,1,,"b""b' Kill it. Kill it.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2256,closed,3,2013-10-31 15:10:19,69.45,1,,,"b""b' Leaving users high and dry sucks. Maybe just splitting it out into an official plugin?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2256,closed,4,2013-10-31 15:10:19,4.45,,1,,"b""b' The repo history will have the codez. Anyone with the willingness / time can make the plugin at a later date.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2256,closed,5,2013-10-31 15:10:19,232.13,,1,,"b'b\' @josegonzalez I agree. I think appropriate action is to indicate a migration path either using ""generic replacement libraries"" or at least indicating the basis for creating a plugin. Though: it has to be said that for most users using dbacl", they didn\\\'t need it and shouldn\\\'t be using it. _Not_ having a core dbacl implementation will IMO help developers as a whole by not pointing them down the wrong road.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,2256,closed,6,2013-10-31 15:10:19,265.08,,,1,"b""b' I think recommending some general libraries that can help people solve the ACL issue might be a good idea.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
