REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,31,2011-11-05 12:37:30,106.38,,1,,b'b\' @acdha  I was just using a for loop through a url list and doing a  on each with my settings and such.  I tried using your paste and it works for about 50 requests in my 900 length list," until I start to get ""max retries errors exceeded with url"" for the rest.  This is a pretty standard error though for hitting the same domain repeatedly though", no? \'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,32,2011-11-05 12:37:30,244.6,,,1,"b""b' Hey", i was crawling a huge list of urls, 35k, and got this same error on _some_ of requests. I am getting urls in chunks of 10, like this: Somewhere in 20k range i started getting error 24," then it was ok thru 30k and then again. Any more info you would be interested in to narrow it down?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,33,2011-11-05 12:37:30,818.2,,1,,"b""b'   is gone. You might want to consider moving to grequests.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,34,2011-11-05 12:37:30,19.72,,,1,"b""b' All right"," thanks. Would be good to mention this in the docs.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,35,2011-11-05 12:37:30,443.67,1,,,"b""b' Kind of a noob when it comes to Pull Requests and writing documentation but I took a stab at it and sent it. Please comment or criticize :)  url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,36,2011-11-05 12:37:30,228.65,,1,,"b""b' Ok", this happends even without using async, with just ," after 6K requests.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,37,2011-11-05 12:37:30,3.55,,1,,"b""b' I suspected that.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,38,2011-11-05 12:37:30,330.22,,,1,"b'b"" For me the \'Too many open files\' error occurred after downloading exactly 1k files. My solution was to disable keep-alive property"," ever getting requests in chunks (@acdha thank you for the hint). shows a non-increasing number of connections during the execution. [1] chunking: url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,39,2011-11-05 12:37:30,1249.48,,1,,"b""b' Closing while deferring to urllib3 fix.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,closed,2012-07-27 06:07:41,503.42,3,31,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,40,2011-11-05 12:37:30,275.83,,1,,"b'b"" @kennethreitz What\'s the urllib3\'s issue number?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,41,2011-11-05 12:37:30,796.48,,1,,"b""b' Looks like this is the issue url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,42,2011-11-05 12:37:30,810.05,,,1,"b'b"" @silvexis could very well be related to the urllib3 bug"," now I\'m just wishing someone had answered @piotr-dobrogost :P""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,43,2011-11-05 12:37:30,1212.43,,1,,"b""b' Is anyone else still encountering this issue?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,44,2011-11-05 12:37:30,25.3,,1,,"b'b"" I haven\'t heard any reports of it. Are you?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,45,2011-11-05 12:37:30,44.07,,1,,"b'b"" It\'s problem of the box config", not of the framework. Look at kernel configuration of your OS. In BSD it is called  . There is thread about in Linux systems: url  Hope it helps," and I don\'t know how to change this parameter on Windows.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,46,2011-11-05 12:37:30,54.38,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,47,2011-11-05 12:37:30,58.32,1,,,"b'b"" With the caveat that we\'re still running an older version of requests", we have the following, horrible," code in place to handle this: (I think  is the requests\' response object)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,48,2011-11-05 12:37:30,78.57,,1,,"b""b' Hmm", where is the chain of closing broken? We have a method that calls  ," so what needs to happen in for this to work?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,49,2011-11-05 12:37:30,471.4,,1,,"b'b"" @Lukasa this was definitely fixed in urllib3 as I was part of the discussion. With an inclination towards being conservative in my estimate"," I would say it\'s there since requests 1.2.x if not 1.1.x.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,50,2011-11-05 12:37:30,474.13,,1,,"b'b"" Yeah", I did think this was fixed. Unless we see something on 1.2.3," I\'m going to continue to assume this is fixed.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,51,2011-11-05 12:37:30,308.03,,1,,"b'b"" I\'m seeing a CLOSE_WAIT leak with 2.0.2"," do you have unit tests to ensure there is no regression on the topic ?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,52,2011-11-05 12:37:30,310.58,,1,,"b'b"" No"," we don\'t. AFAIK urllib3 doesn\'t either. Can you reproduce your leak easily?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,53,2011-11-05 12:37:30,450.57,,1,,"b'b"" We use request in our internal app since monday", and hit the 1024 maxfiles today.. 2 hours after reboot, we have 40 CLOSE_WAIT as told by lsof.  So I think we\'ll be able to reproduce in a dev environment," yes. I\'ll keep you in touch""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,54,2011-11-05 12:37:30,625.68,,1,,"b'b"" @tardyp also", how did you install requests? I think all of the OS package maintainers strip out urllib3. If they don\'t keep that up-to-date and you\'re using an old version, that could be the cause instead. If you\'re using pip," then feel free to open a new issue to track this with instead of adding discussion onto this one.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,55,2011-11-05 12:37:30,627.63,,1,,"b'b"" I installed with pip", but I use python 2.6, I\'ve seen fix on python2.7 forthis bug. Do you monkeypatch for older version? Pierre On Fri, Nov 29, 2013 at 5:33 PM," Ian Cordasco notifications@:""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,56,2011-11-05 12:37:30,645.42,,,1,"b'b"" @tardyp please open a new issue with as much detail as possible including whether the requests you\'re making have redirects and whether you\'re using gevent. Also"," any details about the operating system and an example of how to reproduce it would be fantastic.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,57,2011-11-05 12:37:30,1292.33,,1,,"b""b' FYI url  has been reverted due to bugs.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,58,2011-11-05 12:37:30,767.07,,,1,"b""b' Should we re-open this?I am having the same issue!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,59,2011-11-05 12:37:30,784.93,,1,,"b'b"" @polvoazul There\'s no way this is the same issue", which was originally reported in 2011, so I don\'t think reopening is correct. However, if you\'re running the current release of requests (2.4.3) and can reproduce the problem," opening a new issue would be correct.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,60,2011-11-05 12:37:30,254.2,,1,,"b'b"" @Lukasa  i need you help \\xe3\\x80\\x82 i use eventlet + requests\\xef\\xbc\\x8cthat always create so many sock that can\'t identify protocol \\xe3\\x80\\x82 my requests is 2.4.3"," is eventlet + requests cause this problem? ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,61,2011-11-05 12:37:30,402.08,1,,,"b'b"" I\'m sorry @mygoda", but it\'s impossible to know. If you aren\'t constraining the number of requests that can be outstanding at any one time then it\'s certainly possible," but that\'s an architectural problem outside the remit of requests.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,62,2011-11-05 12:37:30,423.32,,1,,"b'b"" @Lukasa  thank you\\xe3\\x80\\x82  i think my issue is similar with [this]url \\xe3\\x80\\x82 my project is [pyvmomi]url  that connection is long-connection. i always confused why can hold so many can\'t identify protocol  sock""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,63,2011-11-05 12:37:30,1193.88,,,1,"b""b' Having the same problem now", running 120 threads, cause 100000+ opened files," any solution right now? '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,64,2011-11-05 12:37:30,1256.37,,,1,"b""b' @mygoda you use awesome periods\\xe3\\x80\\x82'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,65,2011-11-05 12:37:30,200.05,,1,,"b'b"" @1a1a11a _What_ files do you have open? That\'d be a useful first step to understanding this problem.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,66,2011-11-05 12:37:30,445.05,,1,,"b""b' @1a1a11a what version of requests are you using? What version of python? What operating system? Can we get any information?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,67,2011-11-05 12:37:30,561.72,,1,,"b""b' I am using request 2.9.1", python 3.4, ubuntu 14.04, basically I am writing a crawler using 30 threads with proxies to crawl some website. Currently I have adjusted the file limit per process to 655350," otherwise it will report error.  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,68,2011-11-05 12:37:30,550.15,,,1,"b'b\' I am still receiving the error ""Failed to establish a new connection: [Errno 24] Too many open files"" from ."" I\\\'m using Python 3.4", requests 2.11.1 and requests-futures 0.9.7. I appreciate requests-futures is a separate library, but it seems like the error is coming from requests. I\\\'m attempting to make 180k asynchronous requests over SSL. I\\\'ve divided those requests into segments of 1000, so I only move onto the next 1000 once all the future objects have been resolved. I\\\'m running Ubuntu 16.04.2 and my default open files limit is 1024. It would be good to understand the underlying reason for this error. Does the requests library create an open file for each individual request? And if so, why? Is this a SSL certificate file? And does the requests library automatically close those open files when the future object is resolved?\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,69,2011-11-05 12:37:30,553.95,,1,,"b'b"" Requests opens many files. Some of those files are opened for certificates", but they are opened by OpenSSL and not by Requests, so those aren\'t maintained. Additionally, Requests will also open, if needed, the file, the hosts file, and many others.  You will be best served by using a tool like to work out which files are opened. There is a strict list of system calls that lead to file descriptors being allocated, so you should reasonably swiftly be able to enumerate them. That will also let you know whether there is a problem or not. But, yes," I\'d expect that if you\'re *actively making* 1000 connections over HTTPS then at peak load we could easily use over 1000 FDs.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,70,2011-11-05 12:37:30,212.32,,,1,"b""b' I struggled with this issue as well and found that using on OS X worked great to let me see what was happening if anyone runs in to the same issues. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,71,2011-11-05 12:37:30,85.7,,1,,"b'b"" I\'m also frequently seeing this error when repeatedly calling to an (not HTTPS) server.  Running on Ubuntu 16.04.3", Python 3.5.2," requests 2.9.1""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,72,2011-11-05 12:37:30,104.43,,1,,"b""b' What is  ?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,73,2011-11-05 12:37:30,550.52,,1,,"b""b' A few hundred kb text'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,74,2011-11-05 12:37:30,574.37,,1,,"b""b' Not a file object?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,75,2011-11-05 12:37:30,589.27,,1,,"b""b' No"," I form a large query in memory.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,76,2011-11-05 12:37:30,630.37,,1,,"b""b' Are you running this code in multiple threads?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,77,2011-11-05 12:37:30,634.43,,1,,"b""b' No", single thread," posting to localhost'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,78,2011-11-05 12:37:30,636.83,,1,,"b""b' It seems almost impossible for us to be leaking that many FDs then: we should be repeatedly using the same TCP connection *or* aggressively closing it. Want to check what your server is up to?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,79,2011-11-05 12:37:30,546.67,,1,,"b""b' I am having this problem. Python 2.7", requests 2.18.4, urllib3 1.22. Running multi-threaded code (not multi-processed). Connecting to at most 6 URLs at one time," manually creating and closing a new session for each one.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,80,2011-11-05 12:37:30,553.52,,1,,"b'b"" I\'m having the same problem on  ","'
requests	239	closed	81	arryon	2011-11-05 12:37:30	501.1		+1		b""b' @mcobzarenco are you sure you are (implicitly) closing the underlying connection of the response? Simply returning the response will not close the connection. When reading  the data is actually read and after that the socket will not stay in CLOSE_WAIT.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,239,closed,-,-,-,5,64,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,266,closed,opened,2011-11-14 15:18:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,266,closed,title,2011-11-14 15:18:20,00:00,,1,,"b""b' Proxy dose not work.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,266,closed,body,2011-11-14 15:18:20,00:00,,1,,"b'b"" My  test Code: proxy", {\'http\': \'127.0.0.1:888\'} does not exist,"so there should not return the correct results.Looks like not using a proxy.version: 0.8""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,266,closed,closed,2011-11-14 15:18:58,0.63,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,266,closed,reopened,2011-11-14 15:19:04,0.1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,266,closed,1,2011-11-14 15:18:20,736.33,,1,,"b""b' In addition to that"," proxies are not used in redirects.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,266,closed,2,2011-11-14 15:18:20,624.65,,,1,"b""b' Fixed!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
