REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,
phpunit,495,closed,2,2012-02-09 17:22:32,90.77,,,1,"b'b\' ""testsuites"" tags might not be nestable"," but ""testsuite"" tags are... In the  that Sebastian commited url  there is such a structure: You should see the nested ""testsuite"" tags here. Although one level nesting is relevant in this case (according to Sebastian\\\'s commit)", I don\\\'t know if more levels of nesting would be. Also: That would work if that method was called with every testsuite tag as argument. Which is not the case. Of course this is not obvious, I don\\\'t know if this is a bug or design decision. I did spend quite some time before i realized that the nested testsuite tags were **totally omited**. For this very reason, there is probably no elegant way of filtering out by nested testsuite tag. The reason of that is in here: url The xpath,\\\'\\\', clearly omits nested testsuite tags. So your idea won\\\'t work because $testSuiteNode is (or any testsuite tag that has a testsuites tag as parent). The method getTestSuite is **not** called with the nested testsuite elements as arguments **ever**. In this loop url  : $testSuiteNode **is**  , and $directoryNode are the  elements **of all children**, from those in  to those in  . So the only way to filter them out seems to be in the for loop. Anyway, it\\\'s of course improvable as you mentionned a wildcard for example. But you know, YAGNI, I personnaly wouldn\\\'t decide to implement it until I actually need it I would be more likely to do it wrong, trying to implement something I don\\\'t need. But if you make it a requirement to accept the pull request then I can implement wildcard support in the name (but why not accept a regexp rather than a wildcard for example ?). Wouldn\\\'t that be consistent with filter ? Then maybe shouldn\\\'t we consider another testsuite-filter (or even testsuite-name-filter) option ?\'',,,,,,,
phpunit,495,closed,3,2012-02-09 17:22:32,220.67,,1,,"b""b' Please tell me how to help you integrate this feature before it conflicts with updates :)'""",,,,,,,,,,,,,,,,,,,
phpunit,495,closed,4,2012-02-09 17:22:32,166.75,,1,,"b'b"" I\'ll try to find the time this weekend to look into this.""'",,,,,,,,,,,,,,,,,,,
phpunit,495,closed,5,2012-02-09 17:22:32,663.9,,,1,"b'b"" +1 from me. I\'d like to have a test or two for it (  tests) but I can write those too once this is pulled. Especially having a test for nested name testsuites would be needed as I\'m quite sure this is going to break at some point in the future if we don\'t have one for it :) So if you already have a sample for this @jpic  please include it :=)""'",,,,,,,,,,,,,,,,,,,
phpunit,495,closed,6,2012-02-09 17:22:32,835.58,,1,,"b""b' +1 on this.'""",,,,,,,,,,,,,,,,,,,
phpunit,495,closed,7,2012-02-09 17:22:32,37.42,1,,,"b'b"" Guys",Why does it hang here for 3 month? If it doesn\'t work for all cases and nobody volunteering to fix it right for nested testsuites it means nobody needs it for nested testsuites. I don\'t have to tell you all these is new stuff and it shouldn\'t break anything.If it\'s so hard to pull into framework such simple features," who will volunteer to work on more complex extensions?""'",,,,,,,,,,,,,,,,,
phpunit,495,closed,8,2012-02-09 17:22:32,520.78,1,,,"b'b"" @soid It\'s on the list of things i  to get done for the 3.7 release and getting that feature in with regression testing"," documentation (which someone has to write too) and possible clean ups will take at least 4 hours. Time i current don\'t have for stuff that is not a urgent bug fix but a feature for a future version that I\'d much rather test with all the other stuff. My current goal is to get 3.7 out of the door as soon as possible but between having a day job and $personalReasons I currently don\'t have the time.. you taking a piss / venting some sort of frustration in a rather random place doesn\'t really help ether""'",,,,,,,,,,,,,,,,,,
phpunit,495,closed,9,2012-02-09 17:22:32,712.8,1,,,"b'b"" It\'s not frustration", I\'m just trying to understand why it takes so hard.This is not a feature request that requires you to implement it. Its implemented feature that should be reviewed by people who know the code (13 minutes), merged (1 minute) and changelog updated (1 minute). That\'s it. If it doesn\'t pass the code review it takes even less. And of course if it\'s merged it should come to unstable branch anyway.I fully understand all your reasons and I appreciate the time you spent on the project. But you shouldn\'t block it if it\'s not perfect enough. That way the project will involve more volunteers and finally you will have to spend less time on it. PS. I\'ll try to contribute here and we\'ll write some tests for the feature. I hope it won\'t hang for months :-DPPS. Okay," I cheated a bit in numbers but I think the idea is clear.""'",,,,,,,,,,,,,,,,
phpunit,495,closed,10,2012-02-09 17:22:32,199.47,1,,,b'b\' I had a chance to look at the code from this request and I can say this is piece of shit. 1. It doesn\\\'t follow existing standards while introducing the new arguments (e.g. PHPUnit_TextUI_TestRunner isn\\\'t changed while it plays important role in arguments processing);2. It works only for testsuites set in xml config and conceptually broken as it sorts out testsuites while parsing the xml. I would rather make it work like filter argument; I\\\'d like to volunteer here and implement it right way. I wouldn\\\'t introduce a new argument and would just use existing filter. I\\\'d store parent testsuite for all tests and suites," and then I\\\'d generate somewhere in PHPUnit_Util_Test::describe() strings like ""ParentTestSuite::ChildSuite::TestCase"". So it would be possible to use it like filter=ParentTestSuite::ChildSuite for sorting out suites. How do you think would it work? Or it\\\'s better to leave testsuite option?\''",,,,,,,,,,,,,,,,,,
phpunit,495,closed,11,2012-02-09 17:22:32,449.42,1,,,"b'b"" Thanks for the objective review. I don\'t know what this code did to you but you seem pretty mental about it", so please accept my sincere apologies about that. Please understand that I was just trying to help," not to alienate random people. We don\'t need this feature anymore so I\'m closing the request.""'",,,,,,,,,,,,,,,,,
phpunit,495,closed,closed,2012-04-27 07:08:15,825.72,6,4,3,,,,,,,,,,,,,,,,,,,,
phpunit,495,closed,12,2012-02-09 17:22:32,83.62,1,,,"b'b"" Sorry for being straightforward. It\'s just my opinion"," I don\'t really know much about the phpunit code and I can be wrong.Anyway thanks for your contributions.""'",,,,,,,,,,,,,,,,,,
phpunit,495,closed,13,2012-02-09 17:22:32,730.72,,1,,"b'b"" @soid This is not acceptable behavior. Please refrain from talking like that to people sending contribution to a project you are not involved in. And cleaned up", and tested," and documented and then someone needs to apologize to the contributor that got insulted but someone hickjacking this pull request.To be honest: You won\'t get any special (at least not positive) threatmeant for insulting people and shouting around about project managment in some random pull request you have stumbled upon without even talking to the project maintainer or asking whats up on IRC. @jpic First off: I\'m sorry that you got disturbed my this dicussion as it has nothing to do the with pull request: Like stated: This can easily go into 3.7 and I can see the need for the feature (at least it would make testsuites a lot more useable again). So if you don\'t mind I\'d gladly merge it into master once I get around to. P.S so zeta switched their test layout? I\'d merge it anyways if thats fine""'",,,,,,,,,,,,,,,,,
phpunit,495,closed,14,2012-02-09 17:22:32,619.37,1,,,"b""b' Thank you", @edorian for making clear that this kind of language is not appropriate. I have to apologize that I did not step up earlier and make this clear. I, too," still want this feature but of course the implementation has to be clean. I trust your judgement of whether or not to merge this pull request.'""",,,,,,,,,,,,,,,,
phpunit,495,closed,15,2012-02-09 17:22:32,360.53,,,1,"b'b"" The components move from having a single repo with a single  to being each in its own repo with each it\'s own . I love this decision. This means that the components project might become an open coding standard rather than a commercially supported set of libraries. We all have our bad days so I\'m cool. Probably we all humiliated ourselves on a forum once in our lives"," no big deal B)""'",,,,,,,,,,,,,,,,,,
phpunit,495,closed,16,2012-02-09 17:22:32,344.95,1,,,"b'b"" My apologies for being rude. I\'m still learning English and definitely didn\'t get what I said :-) Just wanted to be straightforward. I\'m glad the request has moved on and @edorian decided to merge the request. It\'s what I was talking about. But I think some code-tuning should be done here and I\'d like to volunteer. I\'ll try to catch you in IRC.""'",,,,,,,,,,,,,,,,,,,
phpunit,495,closed,17,2012-02-09 17:22:32,290.38,,1,,"b'b"" Allright"," here\'s my approach. I believe the right way to filter out the suites is to place the logic in PHPUnit_Framework_TestSuite::run() where phpunit runs all tests. It\'s akin to existing filter option but extends it and filters testsuites too.Let me know if you have concerns about something I\'ll easily fix it. I have one concern: $parent member isn\'t introduced in PHPUnit_Framework_Test and set dynamically in PHPUnit_Framework_TestSuite::addTest(). As PHP interfaces can\'t specify members it would require to introduce something like getParent() and setParent() and its implementation for all classes implemented PHPUnit_Framework_Test so the change would broke many code implemented PHPUnit_Framework_Test (outside phpunit). What do you link about it?""'",,,,,,,,,,,,,,,,,,
phpunit,495,closed,18,2012-02-09 17:22:32,974.53,,1,,"b'b\' I don\\\'t like the approach taken in your pull request. It puts additional complexity in the filter parameter and since we only have one it would not be possible to say ""All tests with \\\'mysql\\\' from testsuite \\\'db\\\' "" which would be one of the usecases I see.  That could maybe solved with allowing multiple filter arguments but it would (I\\\'m guessing) lead to a lot more false positives. Apart from that it\\\'s a BC issue that might not hit a view people but it\\\'s something to take into account. For me @jpic seems a lot cleaner", better documented, less error prone and more fitting for the use cases i see.\'',,,,,,,,,,,,,,,,,
phpunit,495,closed,reopened,2012-05-08 15:52:24,524.15,9,7,4,,,,,,,,,,,,,,,,,,,,
phpunit,495,closed,19,2012-02-09 17:22:32,263.48,,1,,"b'b"" I don\'t have preferences about either to use the new testsuite option or including the logic in the filter. However my main concern regarding the first commits that it\'s working only when testsuites configuration set in XML file.So what do you think if I would introduce testsuite option again but it would match testsuites like filter option does but only in testsuite names?  I would also leave the ability to filter hierarchical suites but it\'s not what I really need as I need the ability to filter testsuites. It\'s just nice to have feature so if you don\'t like that parent-child relations I introduced for suites then I can remove it. Also I\'m not sure whether the new testsuite option should match regex as the filter option does. I\'d like to do it as regex because: 1. it\'s more flexible"," 2. it\'s how filter works so they would work equally. What do you think about it?""'",,,,,,,,,,,,,,,,,,
phpunit,495,closed,20,2012-02-09 17:22:32,1395.22,,,1,"b'b"" Good points about the xml config. The reason i didn\'t care is that the feature is deprecated anyways (even so we might make that clearer) but it was removed from the docs quite some time ago. Because of that i was fine with it only working for the xml config :) having testsuites work like filter would be great. I agree on that. ""'",,,,,,,,,,,,,,,,,,,
phpunit,495,closed,closed,2012-05-09 20:15:36,263.2,9,8,5,,,,,,,,,,,,,,,,,,,,
phpunit,495,closed,21,2012-02-09 17:22:32,47.18,1,,,"b""b' @jpic Thanks a lot for the patch and again: sorry for how the discussion went.'""",,,,,,,,,,,,,,,,,,,
phpunit,495,closed,22,2012-02-09 17:22:32,48.63,,,1,"b""b' Excellent! When are you guys expecting to release a new version? I need this pretty bad.'""",,,,,,,,,,,,,,,,,,,
phpunit,495,closed,23,2012-02-09 17:22:32,52.12,,1,,"b'b"" @grahamc The milestone for the next release is here: url  I\'ll work on all outstanding issues but I", sadly," can\'t make any promises.  You could run this from the git checkouts or just patch your locally installed version. Apart from that there will be a 3.7-beta-phar somewhere down the line. ""'",,,,,,,,,,,,,,,,,
phpunit,495,closed,24,2012-02-09 17:22:32,53.85,,,1,"b""b' Thank you! ##  Graham Christensen On Wednesday", May 9, 2012 at 4:23 PM," Volker Dusch wrote:'""",,,,,,,,,,,,,,,,
phpunit,495,closed,-,-,-,10,9,7,,,,,,,,,,,,,,,,,,,,
phpunit,508,closed,opened,2012-02-21 17:37:42,,,,,,,,,,,,,,,,,,,,,,,,
phpunit,508,closed,title,2012-02-21 17:37:42,00:00,,1,,"b""b' Allow PHP in expectedExceptionMessage annotation'""",,,,,,,,,,,,,,,,,,,
phpunit,508,closed,body,2012-02-21 17:37:42,00:00,,1,,"b""b' See #484'""",,,,,,,,,,,,,,,,,,,
phpunit,508,closed,1,2012-02-21 17:37:42,1.1,,,1,"b'b"" @edorian last comment on #484: Definitely looks a lot nicer. The @ is a nice idea. One issue:So we\'d need you to properly rebase the changes  switch branches again as 3.6 is closed for features and 3.7 will be out in the forseeable future. Having this around as a possible including would be a lot more manageable.""'",,,,,,,,,,,,,,,,,,,
phpunit,508,closed,2,2012-02-21 17:37:42,1243.42,,,1,"b'b"" Just to confirm the above isn\'t an issue with this pull request :)""'",,,,,,,,,,,,,,,,,,,
phpunit,508,closed,3,2012-02-21 17:37:42,1306.92,,1,,"b""b' @sebastianbergmann Can i merge this? '""",,,,,,,,,,,,,,,,,,,
phpunit,508,closed,4,2012-02-21 17:37:42,1121.53,1,,,"b""b' I do not want PHP code in annotations"," sorry.'""",,,,,,,,,,,,,,,,,,
phpunit,508,closed,closed,2012-03-25 06:50:40,792.97,1,3,2,,,,,,,,,,,,,,,,,,,,
phpunit,508,closed,5,2012-02-21 17:37:42,200.07,,,1,"b""b' @sebastianbergmann the need for php code and eval() was removed from this. Please could you quickly check over the code once more to see how this works as I think it would be a useful feature. thanks.'""",,,,,,,,,,,,,,,,,,,
phpunit,508,closed,6,2012-02-21 17:37:42,488.67,,1,,"b'b\' @sebastianbergmann The proposed syntax would be the following and it would resolve via ""constant"".\''",,,,,,,,,,,,,,,,,,,
phpunit,508,closed,7,2012-02-21 17:37:42,819.1,,1,,"b""b' Okay"," if is not used and the documentation is amended: +1 for PHPUnit 3.7.'""",,,,,,,,,,,,,,,,,,
phpunit,508,closed,reopened,2012-03-27 07:58:31,67.85,1,5,3,,,,,,,,,,,,,,,,,,,,
phpunit,508,closed,8,2012-02-21 17:37:42,9.37,,1,,"b""b' Yeah I can do the docs. assigning to milestone'""",,,,,,,,,,,,,,,,,,,
phpunit,508,closed,closed,2012-03-31 12:13:11,254.67,1,6,3,,,,,,,,,,,,,,,,,,,,
phpunit,508,closed,-,-,-,1,6,3,,,,,,,,,,,,,,,,,,,,
phpunit,604,closed,opened,2012-07-13 17:27:40,,,,,,,,,,,,,,,,,,,,,,,,
phpunit,604,closed,title,2012-07-13 17:27:40,00:00,,1,,"b""b' Support Traversable interfaces in mock objects'""",,,,,,,,,,,,,,,,,,,
phpunit,604,closed,body,2012-07-13 17:27:40,00:00,,,1,"b""b' Currently", PHPUnit fails when trying to mock an interface that implements because PHP expects implementations of that interface to also either implement or  . The fix currently is to extend the interface for testing purposes and to add one of the two required interfaces (_Note_: The order of the interfaces is important here!) IMO PHPUnit should be able to add that interface automatically in such situations, i.e.:when the mock is created for an interface or an abstract class, andthat  class implements  ," but not nor  '""",,,,,,,,,,,,,,,
phpunit,604,closed,1,2012-07-13 17:27:40,1215.17,,,1,"b'b"" He"," thanks for the detailed bug report. I\'m currently failing to understand which use case requires one to extend the traversable interface. It should work to throw that into the mock building but I\'d like to state a use case in the tests for that.""'",,,,,,,,,,,,,,,,,,
phpunit,604,closed,2,2012-07-13 17:27:40,79.9,,1,,b'b\' Any interface whose implementation is supposed to be traversable needs to extend it. A very simple example: Interfaces usually specify a contract," without specifying _how_ that contract should be implemented. These core interfaces are special in that specifies the contract (""This object should be iterable"") while and specify how that contract is implemented. Consequently", no userland interface should them, but always IMHO.\'',,,,,,,,,,,,,,,,
phpunit,604,closed,3,2012-07-13 17:27:40,77.77,,,1,"b'b\' So what the interface is saying there is ""I can foreach over things that implement this but i don\\\'t care how the implementing class makes that happen (Iterator or IteratorAggregate). Makes sense to me. Thanks for explaining :)\''",,,,,,,,,,,,,,,,,,,
phpunit,604,closed,4,2012-07-13 17:27:40,1.18,,1,,"b""b' Exactly :)'""",,,,,,,,,,,,,,,,,,,
phpunit,604,closed,5,2012-07-13 17:27:40,855.98,,1,,"b'b\' The PHP Manual states ""This is an internal engine interface which cannot be implemented in PHP scripts. Either IteratorAggregate or Iterator must be used instead."" While the documentation continues with ""When implementing an interface which extends Traversable"," make sure to list IteratorAggregate or Iterator before its name in the implements clause.""", I do not think that should be used in userland at all and therefore am against adding support for this edge-case to PHPUnit.\'',,,,,,,,,,,,,,,,,
phpunit,604,closed,closed,2012-10-07 06:37:40,790.0,0,4,3,,,,,,,,,,,,,,,,,,,,
phpunit,604,closed,6,2012-07-13 17:27:40,121.05,,1,,"b""b' @sebastianbergmann IMHO you are misquoting the manual. The manual talks about _implementing_ Traversable", not _extending_ it. As I have shown above," there is a very clear and valid use case for extending Traversable in other interfaces (without contradicting the manual you quoted).'""",,,,,,,,,,,,,,,,,
phpunit,604,closed,7,2012-07-13 17:27:40,217.42,,1,,"b""b' Clarification on my blog: url '""",,,,,,,,,,,,,,,,,,,
phpunit,604,closed,8,2012-07-13 17:27:40,21.75,,1,,"b""b' If the traversable interface was internal to the engine"," it would not be exported to userland.'""",,,,,,,,,,,,,,,,,,
phpunit,604,closed,reopened,2012-10-07 19:42:53,785.22,0,7,3,,,,,,,,,,,,,,,,,,,,
phpunit,604,closed,9,2012-07-13 17:27:40,426.02,,1,,"b""b' I would accept a pull request for that implements the fix described in the original ticket.'""",,,,,,,,,,,,,,,,,,,
phpunit,604,closed,closed,2012-10-07 19:43:54,1.02,0,8,3,,,,,,,,,,,,,,,,,,,,
phpunit,604,closed,10,2012-07-13 17:27:40,69.08,,1,,"b""b' Ok. I opened a corresponding ticket in that repository.'""",,,,,,,,,,,,,,,,,,,
phpunit,604,closed,-,-,-,0,9,3,,,,,,,,,,,,,,,,,,,,
phpunit,634,closed,opened,2012-09-03 15:57:31,,,,,,,,,,,,,,,,,,,,,,,,
phpunit,634,closed,title,2012-09-03 15:57:31,00:00,,1,,"b""b' Allow custom CLI options'""",,,,,,,,,,,,,,,,,,,
phpunit,634,closed,body,2012-09-03 15:57:31,00:00,1,,,b'b\' I want to run some Selenium tests with PHPUnit. For this, I need to know what browser and what base-URL to use inside my tests. Since I boot-up phpunit with my own CLI runner wrapper script, I wanted to do something like this: Unfortunately," PHPUnit does not allow any other paramters that its own. The ""PHPUnit-way"" would be to use sections inside the XML config files (I use XML config files", by the way) to define env variables. But this would make me have a ton of config files (Firefox + url  Firefox + Domain B, Chrome + Domain A, Chrome + Domain B, etc.) I understand the reasoning behind not allowing unknown options. But it should be possible to allow all options starting with (or something like that). This would make the CLI runner much more useful and still be relatively safe against typos and  options. Currently, as a extremely ugly hack, I remove my elements from to make PHPUnit work, but I would like to remove this hack some time in the future. Maybe I\\\'m missing something from the docs about how to run PHPUnit with custom options?\'',,,,,,,,,
phpunit,634,closed,1,2012-09-03 15:57:31,1002.02,,,1,"b'b"" Sounds like a valid use case. I personally didn\'t have that issue for quite some time but i can see your point. Last time I ran into it i was using ether or a generated setting files for this. We\'re planning on maybe introducing a where key might (or any other xml path) but I\'m not sure about the details and there is no timeframe yet :)""'",,,,,,,,,,,,,,,,,,,
phpunit,634,closed,2,2012-09-03 15:57:31,430.48,,1,,"b""b' Allowing more custom opts again in #655 might also help until we have another system in place.'""",,,,,,,,,,,,,,,,,,,
phpunit,634,closed,closed,2012-09-24 15:50:01,1432.5,1,2,1,,,,,,,,,,,,,,,,,,,,
phpunit,634,closed,3,2012-09-03 15:57:31,182.87,,1,,"b""b' Ok"," but why did you close this issue?'""",,,,,,,,,,,,,,,,,,
phpunit,634,closed,4,2012-09-03 15:57:31,125.07,,1,,"b'b"" I didn\'t see a point in leaving it open as a tracking issue but I noticed we currently don\'t have a issue open for the config rework. (Which i thought we did).""'",,,,,,,,,,,,,,,,,,,
phpunit,634,closed,reopened,2012-09-24 20:57:57,307.93,1,4,1,,,,,,,,,,,,,,,,,,,,
phpunit,634,closed,5,2012-09-03 15:57:31,1137.98,,,1,b'b\' Is the feature mentioned as planned here  already supported? I need to pass in 1 URL argument for each request in order to start debug session. This is the only solution I found, but it seems not being supported so far. In my case," I need to pass in following arguments: which tells the server ""start remote debug session ID 12345 via localhost at port 7869 without profiling"". How can I pass such arguments to CLI phpunit if this option is not supported? Thank you.\''",,,,,,,,,,,,,,,,,
phpunit,634,closed,6,2012-09-03 15:57:31,1330.75,,1,,"b'b"" Is this in the pipeline? I\'m using Selenium / WebDriver in conjunction with phpunit for acceptance testing. I\'d like other members of my team to be able to pass in custom arguments to the command line (this is via xvfb) to change default options like the browser used during the tests"," the window size etc _without a configuration file change_. I need this. Any chance of an update?""'",,,,,,,,,,,,,,,,,,
phpunit,634,closed,7,2012-09-03 15:57:31,400.7,,1,,"b'b\' @J7mbo I succeeded sending custom arguments to phpunit via CLI through argument -d on windows as follows: 1. I created file d:_projects\\\\ with following content: Then I just go into ""d:_projects\\\\"" and hit """".Better way would be including those paths into global environmental variable PATH then you could run ""phpunit"" globally from any directory.\''",,,,,,,,,,,,,,,,,,,
phpunit,634,closed,8,2012-09-03 15:57:31,158.07,,1,,"b'b\' Really all that needs to be done is to remove the ""unrecognized option"" check. What\\\'s the point of it anyway? I\\\'ll also point out that you can bypass that check if you execute a single test of the form: \''",,,,,,,,,,,,,,,,,,,
phpunit,634,closed,9,2012-09-03 15:57:31,1294.08,,1,,"b'b"" Perhaps if some kind of validation on built in PHPUnit options is still desirable", you could use some kind of option delimiter. E.g.  , so that arguments prior to this are still checked for validity. Not sure if I\'ve represented the usage convention of correctly," but it doesn\'t necessarily need use this operator.""'",,,,,,,,,,,,,,,,
phpunit,634,closed,10,2012-09-03 15:57:31,1058.22,,1,,"b'b\' It would be very useful if you could remove the check about the ""unrecognized option""", at the moment I have to rely on environment variables if I want to pass any option to my tests\'',,,,,,,,,,,,,,,,,,
phpunit,634,closed,11,2012-09-03 15:57:31,1386.68,,,1,"b""b' Would be greatly useful for us too.'""",,,,,,,,,,,,,,,,,,,
phpunit,634,closed,12,2012-09-03 15:57:31,165.75,,1,,"b""b' It seems that at the moment you can just execute: and then parse  '""",,,,,,,,,,,,,,,,,,,
phpunit,634,closed,13,2012-09-03 15:57:31,2.93,,1,,"b'b"" I think this only works with the simple file filter didn\'t work with the whole directory if I remember correctly. Plus PhpStorm cannot add arguments at the end of the line (partly their problem", I know). But it\'s some workaround for simple scenarios," that\'s true.""'",,,,,,,,,,,,,,,,,
phpunit,634,closed,14,2012-09-03 15:57:31,1351.58,,1,,"b""b' +1. Would be hugely helpful for us as well.'""",,,,,,,,,,,,,,,,,,,
phpunit,634,closed,15,2012-09-03 15:57:31,793.12,1,,,"b'b"" Dear contributor", let me start by apologizing for not commenting  working on the issue you have reported or merging the pull request you have sent sooner. PHPUnit 5.0 was released today. And today I am closing all open bug reports and pull requests for PHPUnit and its dependencies that I maintain. Please do not interpret the closing of this ticket as an insult or a lack of interest in your problem. I am sorry for any inconvenience this may cause. If the topic of this ticket is still relevant then please open a new ticket or send a new pull request. If your ticket or pull request is about a defect then please check whether the issue still exists in PHPUnit 4.8 (which will received bug fixes until August 2016). If your ticket or pull request is about a new feature then please port your patch PHPUnit 5.0 before sending a new pull request. I hope that today\'s extreme backlog grooming will allow me to respond to bug reports and pull requests in a more timely manner in the future. Thank you for your understanding,"Sebastian""'",,,,,,,,,,,,,,,,,
phpunit,634,closed,closed,2015-10-02 04:17:49,439.87,2,12,3,,,,,,,,,,,,,,,,,,,,
phpunit,634,closed,-,-,-,2,12,3,,,,,,,,,,,,,,,,,,,,
phpunit,660,closed,opened,2012-09-23 08:17:58,,,,,,,,,,,,,,,,,,,,,,,,
phpunit,660,closed,title,2012-09-23 08:17:58,00:00,,1,,"b""b' Running PHPUnit when using the composer autoloader fails '""",,,,,,,,,,,,,,,,,,,
phpunit,660,closed,body,2012-09-23 08:17:58,00:00,,1,,b'b\' Dear Sebastian and @claylo," When I try to execute PHPUnit using the """" executable I receive the following error: I have used the following  to receive this result: and use the following configuration file: Given the error message I have been investigating what may be the cause and it would _seem_ that the php-token-stream autoloader is somehow invoked twice. If I remove the \\\'files\\\' entry for the php-token-stream from then it works. This same behaviour can also be experienced by the travis for phpDocumentor itself: url  I have tried to be as complete as possible in my bug report", please let me know if any information is missing.\'',,,,,,,,,,,,,,,,,
phpunit,660,closed,1,2012-09-23 08:17:58,1.17,,1,,"b""b' Try running  '""",,,,,,,,,,,,,,,,,,,
phpunit,660,closed,2,2012-09-23 08:17:58,2.78,,1,,"b""b' @michilehr though the  was downloaded a few days ago I did as you asked but that does not solve it:  '""",,,,,,,,,,,,,,,,,,,
phpunit,660,closed,3,2012-09-23 08:17:58,428.9,1,,,"b""b' Use : 3.7.*@stable to get the latest version that fixes this issue.'""",,,,,,,,,,,,,,,,,,,
phpunit,660,closed,closed,2012-09-23 18:47:42,629.73,1,4,0,,,,,,,,,,,,,,,,,,,,
phpunit,660,closed,4,2012-09-23 08:17:58,289.98,,1,,"b""b' At first I thought this did indeed solve the issue but I just started a new repo and am still encountering those issues: url '""",,,,,,,,,,,,,,,,,,,
phpunit,660,closed,5,2012-09-23 08:17:58,1180.53,,1,,"b'b"" @mvriel For me it\'s working (now) using your  Working for you too?""'",,,,,,,,,,,,,,,,,,,
phpunit,660,closed,6,2012-09-23 08:17:58,70.0,,1,,"b""b' @edorian the installation is not the problem; the execution of PHPUnit is.'""",,,,,,,,,,,,,,,,,,,
phpunit,660,closed,7,2012-09-23 08:17:58,237.15,1,,,"b'b"" Ah sorry. Didn\'t try that as the project didn\'t have any tests. Also fails for me then (after removing the  )""'",,,,,,,,,,,,,,,,,,,
phpunit,660,closed,reopened,2012-09-24 21:08:29,140.78,2,7,0,,,,,,,,,,,,,,,,,,,,
phpunit,660,closed,8,2012-09-23 08:17:58,1253.78,,1,,"b""b' @edorian I just did an update of my Composer file and pushed the lock to master so to test if this is still an issue.According to travis it is: url '""",,,,,,,,,,,,,,,,,,,
phpunit,660,closed,9,2012-09-23 08:17:58,1204.25,,1,,"b'b\' I also got the problem today. My  is:{  ""require"" : {    ""php"": "">=5.3.0""",""": ""0.0.2""  }, } php -vPHP 5.4.6 (cli) (built: Sep 21 2012 18:22:59) Copyright (c) 1997-2012 The PHP GroupZend Engine v2.4.0, Copyright (c) 1998-2012 Zend Technologies\''
phpunit	660	closed	10	jvanalst	2012-09-23 08:17:58	231.77		+1		b""b' I also just encountered this error:PHP Fatal error:  Cannot redeclare php_tokenstream_autoload() (previously declared in /-apitoken-:45) in /-apitokenon line 230 php -vPHP 5.3.15 with Suhosin-Patch (cli) (built: Jul 31 2012 14:49:18) Copyright (c) 1997-2012 The PHP GroupZend Engine v2.3.0, Copyright (c) 1998-2012 Zend Technologies Composer version 2854df2  '",,,,,,,,,,,,,,,,,,
phpunit,660,closed,11,2012-09-23 08:17:58,238.53,,1,,"b""b' This appears to affect dev"," 3.7.1 and 3.7.0'""",,,,,,,,,,,,,,,,,,
phpunit,660,closed,12,2012-09-23 08:17:58,295.97,,,1,"b'b"" Perhaps the -tokenis \'included\' more than once. ( I didn\'t find out) Here is some dirty fix in -token-if (!function_exists(\'php_tokenstream_autoload\')) {  function php_tokenstream_autoload($class = NULL)  ...  } }""'",,,,,,,,,,,,,,,,,,,
phpunit,660,closed,13,2012-09-23 08:17:58,1208.28,,,1,"b""b' @tiw Sure! php_token_stream autoloader is required in the package through a url  What makes it fail is that Composer uses for the key and for the classes loaded through the key"," in the file.'""",,,,,,,,,,,,,,,,,,
phpunit,660,closed,14,2012-09-23 08:17:58,841.43,1,,,"b'b"" I\'m having issues with this too and just like @theUniC said. Composer is using require instead of require_once", and they seem unwilling to go for require_once, arguing that the loader should only be included once, and that require_once is heavier. I would argue that the performance gain from using require vs require_once is miniscule and a bad case of premature micro optimization. But you PHPUnit could implement an include guard in all its autoloaders," like @tiw mentions.  ""'",,,,,,,,,,,,,,,
phpunit,660,closed,closed,2012-10-05 19:09:09,1320.67,3,11,2,,,,,,,,,,,,,,,,,,,,
phpunit,660,closed,15,2012-09-23 08:17:58,401.68,,1,,"b""b' For the record: I can confirm that the release of 3.7.5 fixes this issue'""",,,,,,,,,,,,,,,,,,,
phpunit,660,closed,-,-,-,3,12,2,,,,,,,,,,,,,,,,,,,,
phpunit,663,closed,opened,2012-09-24 03:28:53,,,,,,,,,,,,,,,,,,,,,,,,
phpunit,663,closed,title,2012-09-24 03:28:53,00:00,,1,,"b""b' Wrong num tests when using group filter'""",,,,,,,,,,,,,,,,,,,
phpunit,663,closed,body,2012-09-24 03:28:53,00:00,,1,,"b""b' When running the phpunit with param it do not affect the number of tests in the output", affecting the percentage too. Ie,"   Note that in the first block the number of tests are the same of the tests without filter. The correct value in this case should be  .'""",,,,,,,,,,,,,,,,,
phpunit,663,closed,1,2012-09-24 03:28:53,37.32,,1,,"b""b' Looking into the code to send a pull request I see the use  ", but the groups to be filtered are sent as parameter in the  . It means that the method in the test suite are not able to filter it. It could be possible adding an attribute with the groups to filter, but the lose the goal, which is inform the number of tests from the suite, not the current running state (let me know if I am wrong saying that). So, what should be the approach to fix it? Change the behavior, or change ResultPrinter to use a different method (ie, call  ," which will call or custom in case of group filters)?'""",,,,,,,,,,,
phpunit,663,closed,2,2012-09-24 03:28:53,14.6,1,,,"b""b' I am afraid there is not clean way to do this before url '""",,,,,,,,,,,,,,,,,,,
